"nodes","name","%ppp","matched","mie","ao","pod"
"5787","CELL INJURY/DEATH","96.8","n","n","n",NA
"5810","INCREASED PRO-INFLAMMATORY MEDIATORS","69.9","n","n","n",NA
"6080","INCREASE DNA DAMAGE","61.54","n","n","n",NA
"5998","N/A MITOCHONDRIAL DYSFUNCTION 1","55.47","yes","n","n","1.19e+01"
"5856","PEPTIDE OXIDATION","47.99","n","n","n",NA
"8060","INCREASE IN RONS","46.61","n","n","n",NA
"6013","OXIDATIVE STRESS ","44.36","n","n","n",NA
"5875","INCREASE MUTATIONS","43.69","yes","n","n","1.01e+01"
"5808","TISSUE RESIDENT CELL ACTIVATION","38.16","n","n","n",NA
"5802","NEUROINFLAMMATION","36.71","n","n","n",NA
"8065","LEUKOCYTE RECRUITMENT/ACTIVATION","34.5","n","n","n",NA
"6033","INCREASE CELL PROLIFERATION EPITHELIAL CELLS","33.56","n","n","n",NA
"6454","INCREASED REACTIVE OXYGEN SPECIES","29.97","yes","n","n","1.01e+01"
"6022","INCREASED LIVER STEATOSIS","29.56","yes","n","yes","1.01e+01"
"5792","INCREASED ACTIVATION AND RECRUITMENT OF HEPATIC MACROPHAGES KUPFFER CELLS","26.23","n","n","n",NA
"6007","IMPAIRED PROTEOSTASIS","24.35","yes","n","n","1.19e+01"
"6125","ACTIVATION PPARΑ","23.86","n","yes","n",NA
"6038","INCREASE LUNG CANCER","23.8","n","n","yes",NA
"7463","INCREASE MUTATIONS","23.67","yes","n","n","1.01e+01"
"7855","GLUTAMATE DYSHOMEOSTASIS","23.57","n","n","n",NA
"6017","INCREASED REACTIVE OXYGEN SPECIES IN THE MITOCHONDRIA","20.81","n","n","n",NA
"5705","INHIBITION MITOCHONDRIAL FATTY ACID BETA-OXIDATION","19.61","yes","n","n","1.01e+01"
"5798","SYNAPTOGENESIS DECREASED ","19.49","n","n","n",NA
"6036","INCREASE CELL PROLIFERATION","19.48","n","n","n",NA
"6009","DEGENERATION OF DOPAMINERGIC NEURONS OF THE NIGROSTRIATAL PATHWAY","19.21","n","n","n",NA
"5782","BDNF REDUCED","19.15","n","n","n",NA
"6476","ACTIVATION NR1H4","18.53","n","yes","n",NA
"5766","INCREASE APOPTOSIS","17.74","n","n","n",NA
"8176","MITOCHONDRIAL INJURY","17.09","n","n","n",NA
"5756","DECREASE OOGENESIS","16.91","n","n","n",NA
"6229","TH SYNTHESIS DECREASED","16.8","n","n","n",NA
"7001","DECREASE IN MITOCHONDRIAL OXIDATIVE PHOSPHORYLATION","15.36","n","n","n",NA
"5877","INCREASE CANCER","15.22","yes","n","yes","1.72e+01"
"6024","ACCUMULATION FATTY ACID","14.95","n","n","n",NA
"5780","IMPAIRMENT LEARNING AND MEMORY","13.1","yes","n","yes","2.83e+00"
"5826","ACCUMULATION COLLAGEN","11.56","yes","n","n","1.30e+01"
"6234","T4 IN SERUM DECREASED","11.56","n","n","n",NA
"6249","T4 IN NEURONAL TISSUE DECREASED","11.49","n","n","n",NA
"6301","INCREASED TRIGLYCERIDE FORMATION","11.22","yes","n","n","1.01e+01"
"6415","THYROIDAL IODIDE DECREASED","10.94","n","n","n",NA
"6480","ACTIVATION SHP","10.84","n","n","n",NA
"5841","REDUCTION CUMULATIVE FECUNDITY AND SPAWNING","10.48","yes","n","n","1.01e+01"
"5794","ACTIVATION STELLATE CELLS","10.43","n","n","n",NA
"5843","DECLINE POPULATION","10.32","n","n","yes",NA
"6497","DECREASE OVULATION","10.25","yes","n","n","1.01e+01"
"6140","INCREASE GENES INVOLVED IN FATTY ACID OXIDATION","10.23","n","n","n",NA
"5804","NEURONAL NETWORK FUNCTION DECREASED","9.99","n","n","n",NA
"6989","LUNG CANCER","9.74","n","n","yes",NA
"7387","INHIBITION IODOTYROSINE DEIODINASE IYD","9.62","yes","yes","n","1.00e+01"
"5692","ACTIVATION AHR","8.93","n","yes","n",NA
"7794","INCREASE FOLLICULAR ATRESIA","8.45","n","n","n",NA
"5987","INHIBITION PPAR ALPHA","8.41","n","yes","n",NA
"6136","ACTIVATION HSD17B4","8.41","n","n","n",NA
"5829","LUNG FIBROSIS","7.69","yes","n","yes","2.44e+01"
