"nodes","name","%ppp","matched","mie","ao","pod"
"5780","IMPAIRMENT LEARNING AND MEMORY","60.56","yes","n","yes","1.02e+00"
"6354","INCREASE SITE OF CONTACT NASAL TUMORS","4.96","yes","n","yes","1.03e+00"
"6499","REDUCED REPRODUCTIVE SUCCESS","1.63","yes","n","yes","1.03e+00"
"5944","CHOLESTASIS PATHOLOGY","0.87","yes","n","yes","1.48e+00"
"7458","N/A BREAST CANCER","0.73","yes","n","yes","1.06e+00"
"5871","INCREASE HERITABLE MUTATIONS IN OFFSPRING","0.65","yes","n","yes","1.27e+00"
"5877","INCREASE CANCER","0.65","yes","n","yes","1.19e+00"
"6832","INCREASE PAPILLOMAS/CARCINOMAS SQUAMOUS CELLS","0.59","yes","n","yes","1.47e+00"
"7578","REPRODUCTIVE FAILURE","0.37","yes","n","yes","1.04e+00"
"5677","INCREASED MORTALITY","0.04","yes","n","yes","1.47e+00"
"6222","SENSITISATION SKIN","0.01","yes","n","yes","2.18e+00"
"5989","INCREASED DISEASE SUSCEPTIBILITY","0.01","yes","n","yes","1.96e+00"
