"nodes","name","%ppp","matched","mie","ao","pod"
"5787","CELL INJURY/DEATH","91.01","n","n","n",NA
"6022","INCREASED LIVER STEATOSIS","63.48","yes","n","n","2.04e+00"
"6454","INCREASED REACTIVE OXYGEN SPECIES","63.48","yes","n","n","2.04e+00"
"5780","IMPAIRMENT LEARNING AND MEMORY","61.46","n","n","yes",NA
"6125","ACTIVATION PPARΑ","54.63","n","yes","n",NA
"6013","OXIDATIVE STRESS ","52.85","n","n","n",NA
"6475","ACTIVATION NRF2","49.3","yes","yes","n","1.66e+00"
"5802","NEUROINFLAMMATION","44.05","n","n","n",NA
"5804","NEURONAL NETWORK FUNCTION DECREASED","41.87","n","n","n",NA
"5856","PEPTIDE OXIDATION","41.84","n","n","n",NA
"5800","N/A NEURODEGENERATION","40.7","n","n","yes",NA
"6310","ABNORMAL ROLL CHANGE WITHIN CASTE","37.16","n","n","n",NA
"6080","INCREASE DNA DAMAGE","36.33","n","n","n",NA
"6024","ACCUMULATION FATTY ACID","35.7","n","n","n",NA
"5810","INCREASED PRO-INFLAMMATORY MEDIATORS","33.71","n","n","n",NA
"5998","N/A MITOCHONDRIAL DYSFUNCTION 1","33.25","yes","n","n","1.22e+00"
"6480","ACTIVATION SHP","33.08","n","n","n",NA
"5798","SYNAPTOGENESIS DECREASED ","29.74","n","n","n",NA
"6476","ACTIVATION NR1H4","29.66","n","yes","n",NA
"6478","ACTIVATION FXR","29.66","n","n","n",NA
"5824","INCREASED DE NOVO FA SYNTHESIS","27.56","n","n","n",NA
"6536","DEATH/FAILURE COLONY","27.45","n","n","yes",NA
"7855","GLUTAMATE DYSHOMEOSTASIS","27.37","n","n","n",NA
"6301","INCREASED TRIGLYCERIDE FORMATION","27.04","n","n","n",NA
"5808","TISSUE RESIDENT CELL ACTIVATION","25.66","n","n","n",NA
"5705","INHIBITION MITOCHONDRIAL FATTY ACID BETA-OXIDATION","24.02","n","n","n",NA
"6140","INCREASE GENES INVOLVED IN FATTY ACID OXIDATION","21.05","n","n","n",NA
"6528","IMPAIRED LARVAL DEVELOPMENT","20.83","n","n","yes",NA
"7289","INCREASED OXIDATIVE STRESS","19.56","n","n","n",NA
"5792","INCREASED ACTIVATION AND RECRUITMENT OF HEPATIC MACROPHAGES KUPFFER CELLS","19.2","n","n","n",NA
"6126","ACTIVATION LXR ALPHA","19.17","n","n","n",NA
"6519","DECREASE NUMBER OF WORKER BEES","18.95","n","n","yes",NA
"6314","DECREASED LOCOMOTION","17.4","yes","n","n","1.93e+00"
"6572","INCREASED PREDATION","17.4","n","n","yes",NA
"6007","IMPAIRED PROTEOSTASIS","16.81","yes","n","n","1.79e+00"
"6530","REDUCED BROOD CARE","16.09","yes","n","n","2.75e+00"
"5766","INCREASE APOPTOSIS","15.99","n","n","n",NA
"8060","INCREASE IN RONS","15.02","n","n","n",NA
"6312","ABNORMAL FORAGING ACTIVITY AND BEHAVIOR","14.79","yes","n","n","1.47e+00"
"6136","ACTIVATION HSD17B4","14.38","n","n","n",NA
"6521","REDUCED FOOD STORAGE","14.21","n","n","n",NA
"6445","SUPPRESSION CONSTITUTIVE ANDROSTANE RECEPTOR NR1L3","12.47","n","yes","n",NA
"5756","DECREASE OOGENESIS","11.59","n","n","n",NA
"5948","EMT","11.37","n","n","n",NA
"6009","DEGENERATION OF DOPAMINERGIC NEURONS OF THE NIGROSTRIATAL PATHWAY","11.19","n","n","n",NA
"5972","ACTIVATION LXR","11.19","n","yes","n",NA
"6162","DECREASE FECUNDITY","11.01","n","n","yes",NA
"5826","ACCUMULATION COLLAGEN","10.82","n","n","n",NA
"7419","INCREASE PEROXISOMAL FATTY ACID BETA OXIDATION OF FATTY ACIDS","10.52","n","n","n",NA
"6071","ACTIVATION JNK","9.99","n","n","n",NA
