"nodes","name","%ppp","matched","mie","ao","pod"
"5787","CELL INJURY/DEATH","94.53","n","n","n",NA
"6080","INCREASE DNA DAMAGE","79.44","n","n","n",NA
"5810","INCREASED PRO-INFLAMMATORY MEDIATORS","73.28","n","n","n",NA
"5766","INCREASE APOPTOSIS","69.02","n","n","n",NA
"8060","INCREASE IN RONS","64.61","n","n","n",NA
"6013","OXIDATIVE STRESS ","61.1","n","n","n",NA
"6454","INCREASED REACTIVE OXYGEN SPECIES","58.9","yes","n","n","1.03e+00"
"6022","INCREASED LIVER STEATOSIS","53.09","yes","n","yes","1.03e+00"
"6162","DECREASE FECUNDITY","42.06","n","n","yes",NA
"5824","INCREASED DE NOVO FA SYNTHESIS","38.61","yes","n","n","1.03e+00"
"5756","DECREASE OOGENESIS","38.44","n","n","n",NA
"5808","TISSUE RESIDENT CELL ACTIVATION","37.84","n","n","n",NA
"8065","LEUKOCYTE RECRUITMENT/ACTIVATION","36.57","n","n","n",NA
"6445","SUPPRESSION CONSTITUTIVE ANDROSTANE RECEPTOR NR1L3","34.92","n","yes","n",NA
"5856","PEPTIDE OXIDATION","34.29","n","n","n",NA
"6125","ACTIVATION PPARΑ","30.87","n","yes","n",NA
"5843","DECLINE POPULATION","30.04","n","n","yes",NA
"7855","GLUTAMATE DYSHOMEOSTASIS","29.79","n","n","n",NA
"6164","INCREASE MORTALITY","29.62","yes","n","n","1.05e+00"
"5998","N/A MITOCHONDRIAL DYSFUNCTION 1","29.41","yes","n","n","1.13e+00"
"5972","ACTIVATION LXR","27.4","n","yes","n",NA
"6497","DECREASE OVULATION","25.87","n","n","n",NA
"6024","ACCUMULATION FATTY ACID","25.81","yes","n","n","2.41e-01"
"6007","IMPAIRED PROTEOSTASIS","24.56","yes","n","n","1.13e+00"
"5802","NEUROINFLAMMATION","22.61","n","n","n",NA
"6144","DEMETHYLATION PPARG PROMOTER","21.22","n","n","n",NA
"7794","INCREASE FOLLICULAR ATRESIA","18.94","n","n","n",NA
"5685","DECREASE POPULATION TRAJECTORY","17.46","n","n","yes",NA
"5792","INCREASED ACTIVATION AND RECRUITMENT OF HEPATIC MACROPHAGES KUPFFER CELLS","16.62","n","n","n",NA
"6126","ACTIVATION LXR ALPHA","16.08","n","n","n",NA
"6017","INCREASED REACTIVE OXYGEN SPECIES IN THE MITOCHONDRIA","15.5","n","n","n",NA
"6335","ALTERATION FOOD-WEB STRUCTURES","15.02","n","n","yes",NA
"6009","DEGENERATION OF DOPAMINERGIC NEURONS OF THE NIGROSTRIATAL PATHWAY","14.75","n","n","n",NA
"6140","INCREASE GENES INVOLVED IN FATTY ACID OXIDATION","14.7","n","n","n",NA
"6038","INCREASE LUNG CANCER","13.34","n","n","yes",NA
"8176","MITOCHONDRIAL INJURY","13.08","n","n","n",NA
"6148","ACTIVATION SREBP-1","12.76","n","n","n",NA
"6476","ACTIVATION NR1H4","12.35","n","yes","n",NA
"6478","ACTIVATION FXR","12.35","n","n","n",NA
"6480","ACTIVATION SHP","12.35","n","n","n",NA
"5982","ACTIVATION SREBF1","10.89","n","n","n",NA
"5875","INCREASE MUTATIONS","9.12","yes","n","n","1.03e+00"
"5782","BDNF REDUCED","7.65","n","n","n",NA
"5798","SYNAPTOGENESIS DECREASED ","7.48","n","n","n",NA
"7001","DECREASE IN MITOCHONDRIAL OXIDATIVE PHOSPHORYLATION","7.44","n","n","n",NA
"7419","INCREASE PEROXISOMAL FATTY ACID BETA OXIDATION OF FATTY ACIDS","7.35","n","n","n",NA
"6499","REDUCED REPRODUCTIVE SUCCESS","6.49","yes","n","yes","5.03e-01"
"5709","INCREASED FA INFLUX","6.45","yes","n","n","4.72e-01"
"5973","UP REGULATION ACETYL-COA CARBOXYLASE-1 ACC-1","6.45","yes","n","n","2.41e-01"
"5821","ACTIVATION CHREBP","6.43","n","n","n",NA
