"nodes","name","%ppp","matched","mie","ao","pod"
"5780","IMPAIRMENT LEARNING AND MEMORY","57.82","yes","n","yes","1.12e-04"
"6499","REDUCED REPRODUCTIVE SUCCESS","6.1","yes","n","yes","5.81e-05"
"6345","TUMORIGENESIS HEPATOCELLULAR CARCINOMA","3.35","yes","n","yes","5.27e-05"
"6354","INCREASE SITE OF CONTACT NASAL TUMORS","2.72","yes","n","yes","4.41e-05"
"7458","N/A BREAST CANCER","0.9","yes","n","yes","4.71e-05"
"5827","N/A LIVER FIBROSIS","0.65","yes","n","yes","5.77e-05"
"5871","INCREASE HERITABLE MUTATIONS IN OFFSPRING","0.48","yes","n","yes","5.84e-05"
"6089","INCREASE ADENOMAS/CARCINOMAS HEPATOCELLULAR","0.34","yes","n","yes","5.00e-05"
"7578","REPRODUCTIVE FAILURE","0.12","yes","n","yes","4.89e-05"
"6022","INCREASED LIVER STEATOSIS","0.04","yes","n","yes","6.02e-05"
"6168","N/A IMPAIRMENT OF REPRODUCTIVE CAPACITY","0.01","yes","n","yes","9.89e-05"
"5944","CHOLESTASIS PATHOLOGY","0","yes","n","yes","5.31e-05"
