"nodes","name","%ppp","matched","mie","ao","pod"
"5780","IMPAIRMENT LEARNING AND MEMORY","53.39","yes","n","yes","2.47e-01"
"6022","INCREASED LIVER STEATOSIS","14.42","yes","n","yes","1.88e-01"
"6354","INCREASE SITE OF CONTACT NASAL TUMORS","8.35","yes","n","yes","1.02e-01"
"5871","INCREASE HERITABLE MUTATIONS IN OFFSPRING","2.33","yes","n","yes","1.11e-01"
"5827","N/A LIVER FIBROSIS","1.42","yes","n","yes","1.02e-01"
"7458","N/A BREAST CANCER","1.34","yes","n","yes","1.00e-01"
"7578","REPRODUCTIVE FAILURE","0.04","yes","n","yes","7.02e-02"
"6317","IMPAIRED FERTILITY","0.02","yes","n","yes","2.38e-01"
"6316","MALFORMATION MALE REPRODUCTIVE TRACT","0.01","yes","n","yes","2.43e-01"
"6499","REDUCED REPRODUCTIVE SUCCESS","0","yes","n","yes","6.81e-02"
"6222","SENSITISATION SKIN","0","yes","n","yes","1.40e-01"
"5944","CHOLESTASIS PATHOLOGY","0","yes","n","yes","5.77e-02"
