"nodes","name","%ppp","matched","mie","ao","pod"
"6022","INCREASED LIVER STEATOSIS","60.96","yes","n","yes","2.14e+00"
"6345","TUMORIGENESIS HEPATOCELLULAR CARCINOMA","25.14","yes","n","yes","2.12e+00"
"5827","N/A LIVER FIBROSIS","1.22","yes","n","yes","1.01e+00"
"7458","N/A BREAST CANCER","0.85","yes","n","yes","1.10e+00"
"5944","CHOLESTASIS PATHOLOGY","0.3","yes","n","yes","1.68e+00"
"6499","REDUCED REPRODUCTIVE SUCCESS","0.09","yes","n","yes","2.42e-01"
"6089","INCREASE ADENOMAS/CARCINOMAS HEPATOCELLULAR","0.06","yes","n","yes","1.85e+00"
"7578","REPRODUCTIVE FAILURE","0.02","yes","n","yes","3.86e-01"
"6354","INCREASE SITE OF CONTACT NASAL TUMORS","0.01","yes","n","yes","1.19e+00"
"6719","OCCURRENCE KIDNEY TOXICITY","0","yes","n","yes","2.43e+00"
"6222","SENSITISATION SKIN","0","yes","n","yes","1.24e+00"
"6224","INCREASE ALLERGIC RESPIRATORY HYPERSENSITIVITY RESPONSE","0","yes","n","yes","1.18e+00"
