"nodes","name","%ppp","matched","mie","ao","pod"
"5787","CELL INJURY/DEATH","95.79","n","n","n",NA
"6080","INCREASE DNA DAMAGE","92.77","n","n","n",NA
"5810","INCREASED PRO-INFLAMMATORY MEDIATORS","75.37","n","n","n",NA
"7289","INCREASED OXIDATIVE STRESS","67.52","n","n","n",NA
"5856","PEPTIDE OXIDATION","60.55","n","n","n",NA
"8060","INCREASE IN RONS","54.16","n","n","n",NA
"5998","N/A MITOCHONDRIAL DYSFUNCTION 1","51.41","n","n","n",NA
"5875","INCREASE MUTATIONS","51.08","yes","n","n","2.93e+00"
"5808","TISSUE RESIDENT CELL ACTIVATION","46.18","n","n","n",NA
"7446","ALTERED GENE EXPRESSION","45.41","yes","n","n","1.90e+00"
"7537","ALTERED PROTEIN PRODUCTION","45.41","yes","n","n","1.90e+00"
"6033","INCREASE CELL PROLIFERATION EPITHELIAL CELLS","42.67","n","n","n",NA
"6036","INCREASE CELL PROLIFERATION","42.62","n","n","n",NA
"5802","NEUROINFLAMMATION","42.56","n","n","n",NA
"5677","INCREASED MORTALITY","37.89","n","n","yes",NA
"7294","OCCURRENCE RENAL PROXIMAL TUBULAR NECROSIS","37.89","yes","n","n","3.53e+00"
"7303","INCREASED BLOOD POTASSIUM CONCENTRATION","37.89","n","n","n",NA
"6345","TUMORIGENESIS HEPATOCELLULAR CARCINOMA","36.44","n","n","yes",NA
"6349","INCREASED INDUCED MUTATIONS IN CRITICAL GENES","36.44","yes","n","n","2.93e+00"
"6013","OXIDATIVE STRESS ","34.43","n","n","n",NA
"8065","LEUKOCYTE RECRUITMENT/ACTIVATION","33.78","n","n","n",NA
"6454","INCREASED REACTIVE OXYGEN SPECIES","33.38","yes","n","n","1.74e+00"
"5864","RECRUITMENT OF INFLAMMATORY CELLS","32.95","n","n","n",NA
"5806","RELEASE CYTOKINE","32.77","n","n","n",NA
"6125","ACTIVATION PPARΑ","30.25","n","yes","n",NA
"7463","INCREASE MUTATIONS","29.87","yes","n","n","2.93e+00"
"5782","BDNF REDUCED","27.38","n","n","n",NA
"5798","SYNAPTOGENESIS DECREASED ","26.96","n","n","n",NA
"5792","INCREASED ACTIVATION AND RECRUITMENT OF HEPATIC MACROPHAGES KUPFFER CELLS","21.93","n","n","n",NA
"6229","TH SYNTHESIS DECREASED","21.38","n","n","n",NA
"6140","INCREASE GENES INVOLVED IN FATTY ACID OXIDATION","20.17","n","n","n",NA
"7306","OCCURRENCE CARDIAC ARRTHYMIA","18.94","n","n","n",NA
"7308","OCCURRENCE CARDIAC ARRHYTHMIA","18.94","n","n","n",NA
"7855","GLUTAMATE DYSHOMEOSTASIS","17.3","n","n","n",NA
"6009","DEGENERATION OF DOPAMINERGIC NEURONS OF THE NIGROSTRIATAL PATHWAY","16.72","n","n","n",NA
"6234","T4 IN SERUM DECREASED","14.99","n","n","n",NA
"6249","T4 IN NEURONAL TISSUE DECREASED","14.91","n","n","n",NA
"6475","ACTIVATION NRF2","13.45","n","yes","n",NA
"6476","ACTIVATION NR1H4","13.45","n","yes","n",NA
