"nodes","name","%ppp","matched","mie","ao","pod"
"5998","N/A MITOCHONDRIAL DYSFUNCTION 1","91.79","n","n","n",NA
"5787","CELL INJURY/DEATH","88.51","n","n","n",NA
"5856","PEPTIDE OXIDATION","82.45","n","n","n",NA
"6007","IMPAIRED PROTEOSTASIS","70.4","yes","n","n","1.13e-04"
"5802","NEUROINFLAMMATION","59.32","n","n","n",NA
"5780","IMPAIRMENT LEARNING AND MEMORY","53.05","n","n","yes",NA
"5692","ACTIVATION AHR","50.24","yes","yes","n","1.01e-04"
"5690","UP REGULATION CYP1A1","50.14","yes","n","n","1.01e-04"
"5800","N/A NEURODEGENERATION","46.6","n","n","yes",NA
"5810","INCREASED PRO-INFLAMMATORY MEDIATORS","42.98","n","n","n",NA
"6009","DEGENERATION OF DOPAMINERGIC NEURONS OF THE NIGROSTRIATAL PATHWAY","37.39","n","n","n",NA
"6080","INCREASE DNA DAMAGE","35.84","n","n","n",NA
"6332","DECREASED NEURONAL NETWORK FUNCTION IN ADULT BRAIN","35.72","yes","n","n","1.33e-04"
"6536","DEATH/FAILURE COLONY","35.51","n","n","yes",NA
"6017","INCREASED REACTIVE OXYGEN SPECIES IN THE MITOCHONDRIA","35.2","n","n","n",NA
"8176","MITOCHONDRIAL INJURY","35.2","n","n","n",NA
"6310","ABNORMAL ROLL CHANGE WITHIN CASTE","34.19","n","n","n",NA
"6312","ABNORMAL FORAGING ACTIVITY AND BEHAVIOR","32.88","n","n","n",NA
"6519","DECREASE NUMBER OF WORKER BEES","31.56","n","n","yes",NA
"8060","INCREASE IN RONS","30.01","n","n","n",NA
"6125","ACTIVATION PPARΑ","28.21","n","yes","n",NA
"6476","ACTIVATION NR1H4","28.09","yes","yes","n","1.41e-04"
"5687","ALTERED REGULATION AHR NUCLEAR TRANSLOCATOR ARNT-DEPENDENT PATHWAYS","25.07","n","n","n",NA
"5808","TISSUE RESIDENT CELL ACTIVATION","23.72","n","n","n",NA
"6521","REDUCED FOOD STORAGE","23.67","n","n","n",NA
"8065","LEUKOCYTE RECRUITMENT/ACTIVATION","19.68","n","n","n",NA
"6140","INCREASE GENES INVOLVED IN FATTY ACID OXIDATION","18.55","n","n","n",NA
"5875","INCREASE MUTATIONS","17.8","n","n","n",NA
"5766","INCREASE APOPTOSIS","17.71","n","n","n",NA
"5756","DECREASE OOGENESIS","16.2","n","n","n",NA
"6036","INCREASE CELL PROLIFERATION","16.2","n","n","n",NA
"6003","IMPAIRED HIVE THERMOREGULATION","15.78","n","n","n",NA
"5798","SYNAPTOGENESIS DECREASED ","15.02","n","n","n",NA
"6497","DECREASE OVULATION","14.7","n","n","n",NA
"6480","ACTIVATION SHP","14.08","n","n","n",NA
"5818","REDUCTION IONOTROPIC GABA RECEPTOR CHLORIDE CHANNEL CONDUCTANCE","13.55","n","n","n",NA
"5819","REDUCTION NEURONAL SYNAPTIC INHIBITION","13.55","yes","n","n","2.07e-04"
"6376","OVERACTIVATION NMDARS","13.55","yes","n","n","2.07e-04"
"6378","INCREASED INTRACELLULAR CALCIUM OVERLOAD","13.55","n","n","n",NA
"6380","OCCURRENCE EPILEPTIC SEIZURE","13.55","n","n","n",NA
"6597","OCCURRENCE A PAROXYSMAL DEPOLARIZING SHIFT","13.55","n","n","n",NA
"6674","BINDING AT PICROTOXIN SITE IGABAR CHLORIDE CHANNEL","13.55","n","yes","n",NA
"6676","GENERATION AMPLIFIED EXCITATORY POSTSYNAPTIC POTENTIAL EPSP","13.55","n","n","n",NA
"6005","WEAKENED COLONY","13.15","n","n","n",NA
"6528","IMPAIRED LARVAL DEVELOPMENT","13.15","n","n","yes",NA
"6354","INCREASE SITE OF CONTACT NASAL TUMORS","12.82","yes","n","yes","1.80e-04"
"6033","INCREASE CELL PROLIFERATION EPITHELIAL CELLS","12.4","n","n","n",NA
"5804","NEURONAL NETWORK FUNCTION DECREASED","12.22","n","n","n",NA
"6013","OXIDATIVE STRESS ","10.96","n","n","n",NA
"6142","ACTIVATION NADPH OXIDASE","9.39","n","yes","n",NA
"7419","INCREASE PEROXISOMAL FATTY ACID BETA OXIDATION OF FATTY ACIDS","9.28","n","n","n",NA
"5841","REDUCTION CUMULATIVE FECUNDITY AND SPAWNING","9.05","yes","n","n","1.74e-04"
"5843","DECLINE POPULATION","8.29","n","n","yes",NA
"7794","INCREASE FOLLICULAR ATRESIA","8.1","n","n","n",NA
"6594","INCREASED GLUTAMATE","6.78","n","n","n",NA
"6349","INCREASED INDUCED MUTATIONS IN CRITICAL GENES","6.53","n","n","n",NA
"5685","DECREASE POPULATION TRAJECTORY","6.52","n","n","yes",NA
"7463","INCREASE MUTATIONS","6.34","n","n","n",NA
"5826","ACCUMULATION COLLAGEN","6.28","n","n","n",NA
"5792","INCREASED ACTIVATION AND RECRUITMENT OF HEPATIC MACROPHAGES KUPFFER CELLS","5.94","n","n","n",NA
"7855","GLUTAMATE DYSHOMEOSTASIS","5.5","n","n","n",NA
"6530","REDUCED BROOD CARE","5.26","n","n","n",NA
"6513","ACTIVATION NICOTINIC ACETYLCHOLINE RECEPTOR","5.25","yes","yes","n","1.85e-04"
"5794","ACTIVATION STELLATE CELLS","4.53","n","n","n",NA
"6499","REDUCED REPRODUCTIVE SUCCESS","4.27","yes","n","yes","1.13e-04"
"6986","INCREASE MUTATIONS IN CRITICAL GENES","4.27","n","n","n",NA
"6335","ALTERATION FOOD-WEB STRUCTURES","4.14","n","n","yes",NA
"6162","DECREASE FECUNDITY","3.76","n","n","yes",NA
"5829","LUNG FIBROSIS","3.4","yes","n","yes","1.33e-04"
"5827","N/A LIVER FIBROSIS","2.94","yes","n","yes","1.37e-04"
"6345","TUMORIGENESIS HEPATOCELLULAR CARCINOMA","2.25","n","n","yes",NA
"7289","INCREASED OXIDATIVE STRESS","1.96","yes","n","n","1.44e-04"
"6314","DECREASED LOCOMOTION","1.76","yes","n","n","8.26e-05"
"6572","INCREASED PREDATION","1.76","n","n","yes",NA
"6038","INCREASE LUNG CANCER","1.5","n","n","yes",NA
"5926","UP REGULATION TGFBETA1 EXPRESSION","1.46","n","n","n",NA
"5948","EMT","1.44","n","n","n",NA
"6071","ACTIVATION JNK","1.4","yes","n","n","1.33e-04"
"7596","ACTIVATION TGF-BETA PATHWAY","1.4","n","n","n",NA
"8592","TGFBETA EXPRESSION","1.4","n","n","n",NA
"7446","ALTERED GENE EXPRESSION","1.36","yes","n","n","1.05e-04"
"7535","ALTERED DIFFERENTIATION","1.36","n","n","n",NA
"8203","NEURAL TUBE DEFECTS","1.36","n","n","yes",NA
"6164","INCREASE MORTALITY","1.32","n","n","n",NA
"6525","ABNORMAL ROLE CHANGE WITHIN CASTE","1.32","n","n","n",NA
"7312","INHIBITION CYCLOOXYGENASE 1 ACTIVITY","1.32","n","yes","n",NA
"7313","DECREASED PROSTAGLANDIN F2ALPHA CONCENTRATION PLASMA ","1.32","n","n","n",NA
"7315","OCCURRENCE RENAL ISCHEMIA","1.32","n","n","n",NA
