"","Num","POD","SD","%","Genes","KE"
"CTOME FATTY ACYL COA BIOSYNTHESIS","2","0.00214341593438623","1.39322268280451","40","fasn, hacd3","UP REGULATION ACETYL-COA CARBOXYLASE-1 ACC-1"
"GO:0015464","2","0.00250380748994786","1.38424258525499","25","chrm2a, chrna6","ACTIVATION NICOTINIC ACETYLCHOLINE RECEPTOR"
"INHIBITION ACETYLCHOLINESTERASE ACHE","2","0.00250380748994786","1.38424258525499","18.18","chrm2a, chrna6","INHIBITION ACETYLCHOLINESTERASE ACHE"
"LIPID METABOLISM PATHWAY","3","0.0360213396615085","0.96397193318576","25","bckdha, fasn, prkaa1","DAMAGE LIPID BILAYER"
"CTOME CELLULAR RESPONSE TO HYPOXIA","5","0.0378654041947103","0.361424851224703","11.63","hif1ab, psma1, psmb3, psmb4, psmd9","N/A HYPOXIA"
"GO:1903009","5","0.0488071676998553","0.376489271412099","14.71","psma1, psmb3, psmb4, psmc1a, psmd9","DECREASE GTPCH-1"
"GO:0019882","8","0.099449660381885","0.186320683708543","13.56","canx, CD68, psma1, psmb3, psmb4, psmc1a, psmd9, sec13","GENERATION OF NOVEL EPITOPES  ANTIGEN PRESENTATION"
"GO:0006633","7","0.150350755105104","0.254642849290177","24.14","fasn, hacd3, lias, lpgat1, lpl, prkaa1, ptgesl","SYNTHESIS DE NOVO FA; INCREASED DE NOVO FA SYNTHESIS; INCREASED DE NOVO FA SYNTHESIS"
"GO:0036475","2","0.168393946980803","0.0988484610899654","40","ctnnb1, hif1ab","N/A NEURONAL DYSFUNCTION"
"GO:0003158","7","0.168457653429812","0.261540247854785","29.17","acvr1l, acvr2b, csnk2b, ctnnb1, f11r.1, fasn, hoxb5a","IMPAIRMENT ENDOTHELIAL NETWORK"
"VENTRICULAR ARRHYTHMIA","2","0.186354804408728","0.0340086009369852","28.57","bmp2a, raf1b","OCCURRENCE CARDIAC ARRHYTHMIA"
"GO:0008152","2","0.188873425979869","0.0195939703365967","66.67","naga, pfkpa","PRODUCTION CRITICAL METABOLITES CGA 330050 AND CGA 265307; METABOLISM OF AFB1 PRODUCTION OF REACTIVE ELECTROPHILES"
"GO:0007268","9","0.21851149486964","0.183410632517429","25.71","cacna1ba, cacna1bb, chrm2a, chrna6, gabra1, gabra5, glrba, htr2cl1, htr3a","REDUCTION NEURONAL SYNAPTIC INHIBITION"
"SIGNALING OF HEPATOCYTE GROWTH FACTOR RECEPTOR","3","0.231978799956318","0.0654649645847392","8.82","mapk3, ptena, raf1b","OCCURRENCE CYTOPLASMIC VACUOLIZATION HEPATOCYTE; OCCURRENCE BALLOONING DEGENERATION HEPATOCYTE"
"GO:0042541","2","0.238427953122539","0.00794636677149728","40","hif1ab, inhbab","FORMATION FORMATION OF HEMOGLOBIN ADDUCTS"
"GO:0006816","2","0.245591326518723","0.0316085584479016","18.18","cacna1ba, cacna1bb","DECREASED CALCIUM INFLUX; REDUCTION CA AND HCO3 TRANSPORT TO SHELL GLAND; OPENING OF CALCIUM CHANNEL CALCIUM INFLUX"
"GO:0015908","4","0.260286880755929","0.0652194035985596","18.18","cpt2, drd2b, ncor1, syk","INCREASED FA INFLUX"
"GO:0007612","4","0.262304762334805","0.0135519897621226","16.67","drd2b, gabra5, hif1ab, vdac1","IMPAIRMENT LEARNING AND MEMORY"
"GO:0030331","3","0.262919135951547","0.0972248922201618","33.33","ctnnb1, pcna, taf10","INCREASED ER BINDING TO DNA CLASSICAL PATHWAY; INCREASED ER BINDING TO TF TO DNA NON-CLASSICAL PATHWAY"
"GO:0007249","7","0.274587373925281","0.0395425963136729","16.28","ctnnb1, golt1bb, hacd3, hdac1, nfkb1, nfkb2, ppm1bb","INHIBITION NUCLEAR FACTOR KAPPA B NF-KB"
"PEPTIDYL LYSINE MODIFICATION","13","0.27864301463957","0.0928697969919547","18.31","ctnnb1, egr1, hat1, hdac1, lias, mapk3, nos1, nup93, pax5, prkaa1, sirt3, sumo2b, taf10","N/A COVALENT BINDING TO PROTEIN POSSIBLY LYSINE RESIDUE"
"CTOME IKBA VARIANT LEADS TO EDA ID","2","0.279623886047219","0.0155124474016993","50","nfkb1, nfkb2","INDUCTION IKB INHIBITORY PROTEIN"
"GO:0003714","5","0.282217824028042","0.0635222139889317","25","e2f8, hdac1, ncor1, sap18, tfap2b","STABILIZATION PPAR ALPHA CO-REPRESSOR"
"GO:0005125","3","0.286546239822906","0.0609906138306811","12","bmp2a, gpia, inhbab","ACTIVATION INFLAMMATORY CYTOKINES CHEMOKINES CYTOPROTECTIVE GENE PATHWAYS"
"GLOMERULAR SCLEROSIS","3","0.292717544384652","0.123286749740297","21.43","ikbkap, nup93, sdhc","DECREASED GLOMERULAR FILTRATION"
"REGULATION OF PH","5","0.297933184932979","0.0267651790041978","35.71","atp6ap1b, atp6v1c1a, atp6v1e1b, atp6v1f, mapk3","DECREASE INTRACELLULAR PH"
"LYMPHOCYTE APOPTOTIC PROCESS","2","0.300418650558451","0.0789184768089889","25","hif1ab, ptena","DECREASED LYMPHOCYTES"
"GO:0010468","3","0.320036327873122","0.064670338432101","18.75","gata5, mapk3, mapk9","DECREASED TRANSCRIPTION OF GENES BY AR"
"CTOME ACTIVATION OF GENE EXPRESSION BY SREBF SREBP","4","0.327824494608568","0.692661769662593","33.33","dhcr7, fasn, hmgcs1, lss","UP REGULATION SREBF2"
"HEMOGLOBIN METABOLIC PROCESS","4","0.337620438947919","0.051736040263136","66.67","alas1, cat, hif1ab, inhbab","ALTERED REGULATION ALPHA HEMOGLOBIN"
"GO:0005254","3","0.364906416148216","0.296087457546044","33.33","gabra1, gabra5, glrba","ACTIVATION GLUTAMATE-GATED CHLORIDE CHANNEL; ACTIVATION GLUTAMATE-GATED CHLORIDE CHANNELS"
"GO:1902476","3","0.364906416148216","0.296087457546044","50","gabra1, gabra5, glrba","INCREASED CHLORIDE CONDUCTANCE"
"REGULATION OF WNT SIGNALING PATHWAY","17","0.388867553147482","0.0744841239915551","21.52","bambia, bmp2a, csnk1e, csnk1g2a, ctnnb1, egr1, gli1, gsk3ab, hdac1, nfkb1, ppp2r1b, psma1, psmb3, psmb4, psmd9, stk11, ubr5","INHIBITION WNT PATHWAY"
"INCREASED LEVEL OF HIPPURIC ACID IN URINE","2","0.39935446786423","0.201985580525246","66.67","bckdha, hmgcl","INCREASED BLOOD URIC ACID CONCENTRATION"
"CTOME SIGNALING BY TYPE 1 INSULIN LIKE GROWTH FACTOR 1 RECEPTOR IGF1R","4","0.401907399509203","0.354274474108925","30.77","fgf8a, fgfr4, igf1ra, nras","INCREASED IGF-1 MOUSE"
"ABNORMAL PLEURA MORPHOLOGY","2","0.402414833387023","0.202400804239981","25","bmp2a, ikbkap","PERSISTENT CYTOTOXICITY PLEURA OR PERITONEUM"
"MICROTUBULE POLYMERIZATION OR DEPOLYMERIZATION","2","0.404416563361495","0.0465754805699148","20","fbxo5, rps3","DEPOLYMERIZATION MICROTUBULE"
"G TGF BETA SIGNALING PATHWAY","9","0.407546286859394","0.0677750681148388","13.24","acvr1l, acvr2b, bmp2a, fsta, inhbab, mapk3, ppp2r1b, tfdp1a, tgfbr2","ACTIVATION TGF-BETA PATHWAY; UP REGULATION TGFBETA1 EXPRESSION"
"G GLUTATHIONE METABOLISM","2","0.412016068756015","0.184896717579485","25","gstk1, pgd","DEPLETION GSH"
"GO:0006954","21","0.418003332867743","0.0556657160756387","17.95","acvr1l, adora2aa, bmp2a, CD68, ctsc, f11r.1, f3a, f3b, hif1ab, lias, lpl, nfkb1, nfkb2, nppa, ogg1, prkcz, psma1, psmb4, scn1lab, syk, vcam1","INCREASE INFLAMMATION; INCREASE INFLAMMATION CORNEAL CELLS; INFILTRATION INFLAMMATORY CELLS; INCREASED INFLAMMATION; CHRONIC COUGH RESPIRATORY IRRITABILITY"
"GO:0006936","11","0.433025862004583","0.139923695047219","20","calm1b, chrm2a, drd2b, mylpfa, neurog1, nos1, nppa, pgam2, scn1lab, tnnc2, tnnt2a","REDUCTION ABDOMINAL MUSCLE CONTRACTION; OVERACTIVATION MUSCLE CONTRACTION"
