"","Num","POD","SD","%","Genes","KE"
"GO:0042701","3","0.00643830792791427","0.341866846740946","8.82","fzr1a, mapk12a, mapk14a","DECREASED PROGESTERONE FROM CORPUS LUTEUM"
"SYNAPTIC TRANSMISSION GLUTAMATERGIC","2","0.00841510556445551","0.168888490337456","15.38","adora2aa, serpine2","REDUCED PRESYNAPTIC RELEASE OF GLUTAMATE"
"HYPERACTIVITY","3","0.0100376415470288","0.286194785931932","6","adsl, gata4, scn1lab","INDUCTION ATAXIA PARALYSIS OR HYPERACTIVITY; INCREASED ATAXIA PARALYSIS OR HYPERACTIVITY; N/A ATAXIA PARALYSIS OR HYPERACTIVITY"
"NEUROINFLAMMATION","2","0.0101789947225592","0.821205781216238","16.67","chuk, mapk14a","N/A NEUROINFLAMMATION"
"ABNORMALITY OF THE PITUITARY GLAND","3","0.0110340266548704","0.271909795728698","6.25","foxa2, gata4, nfkb2","INCREASED ADENOMAS PITUITARY"
"ABNORMALITY OF ADRENAL PHYSIOLOGY","3","0.0166090609547375","0.209179743472299","3.26","gata4, insrb, nfkb2","INCREASE RENAL PATHOLOGY DUE TO VTG DEPOSITION; DECREASED RENAL ABILITY TO DILUTE URINE; OCCURRENCE KIDNEY TOXICITY; INCREASED KIDNEY FAILURE"
"BREAST CANCER PATHWAY","3","0.0167074657317587","0.208939641181387","2.63","ncoa3, nfkb2, wnt3a","N/A BREAST CANCER"
"GO:0006954","7","0.0203426930748124","0.129362292700699","5.98","adora2aa, cebpa, chuk, mapk14a, mmp9, nfkb2, scn1lab","INCREASE INFLAMMATION; INCREASE INFLAMMATION CORNEAL CELLS; INFILTRATION INFLAMMATORY CELLS; INCREASED INFLAMMATION; CHRONIC COUGH RESPIRATORY IRRITABILITY"
"GO:0006898","3","0.0207358322250397","0.270373737613888","7.89","hyou1, insrb, wnt3a","REDUCTION VITELLOGENIN ACCUMULATION INTO OOCYTES AND OOCYTE GROWTH/DEVELOPMENT; INCREASED LDL UPTAKE"
"GO:0001525","3","0.0212978966774348","0.404250234810013","8.11","igfbp2a, nfkb2, rps29","REDUCTION ANGIOGENESIS; INCREASED ANGIOGENESIS"
"GO:0048856","4","0.0223162858148839","0.366250477380157","33.33","hnf4a, insrb, nr2f6a, rxrbb","ALTERED NEUROANATOMY"
"CHOLESTASIS","3","0.0254837380625951","0.187067771351378","8.57","hnf4a, insrb, rnaseh2b","INCREASED CHOLESTASIS; CHOLESTASIS PATHOLOGY"
"CYTOPLASMIC RIBOSOMAL PROTEINS","4","0.0272716830482405","0.465394223269838","2.78","rpl36, rps29, rps4x, rpsa","OCCURRENCE CYTOPLASMIC VACUOLIZATION PODOCYTE"
"GO:0006936","4","0.0272849630659849","0.179269822989895","7.27","chuk, gata4, scn1lab, tpm3","REDUCTION ABDOMINAL MUSCLE CONTRACTION; OVERACTIVATION MUSCLE CONTRACTION"
"GO:0003707","3","0.0317754802057535","0.584810250775714","9.38","hnf4a, nr2f6a, rxrbb","REDUCED MATURATION INDUCING STEROID RECEPTOR SIGNALLING OOCYTE"
"APOPTOSIS","3","0.0319781222468722","0.335862858978053","5.36","bbc3, casp9, chuk","INCREASED APOPTOSIS ADENOMAS/CARCINOMAS FOLLICULAR CELL"
"GO:0004872","9","0.0430500641498249","0.173341507280675","3.77","adora2aa, adora2ab, ednrab, hnf4a, insrb, nr2f6a, rxrbb, tgfb2, wnt3a","ACTIVATION PXR/SXR"
"ABNORMALITY OF REPRODUCTIVE SYSTEM PHYSIOLOGY","5","0.0455443812149741","0.324839290273648","4.85","foxa2, gata4, ptpn11a, rps4x, stub1","N/A IMPAIRMENT OF REPRODUCTIVE CAPACITY"
"GO:0042060","8","0.047998459979642","0.19386817149901","9.09","adora2aa, foxa2, gata4, hnf4a, ptpn11a, serpine2, tgfb2, wnt3a","FAILURE IN VASCULAR REPAIR MECHANISMS UNRESOLVED BLOOD LOSS HEMORRHAGE"
"REGULATION OF PROTEOLYSIS","13","0.0484987688219018","0.106586006248253","11.61","adora2aa, bbc3, casp9, cebpa, fzr1a, hsf1, mmp9, psmd10, rchy1, serpine2, stub1, wnt3a, ywhaqa","IMPAIRED PROTEOSTASIS"
"GO:0030545","3","0.0540775771942822","0.622614056596121","5.08","fsta, tgfb2, wnt3a","DESENSITIZATION NICOTINIC ACETYLCHOLINE RECEPTOR"
"GO:0009611","10","0.0667409072173603","0.14955530692493","8.93","adora2aa, cyp1a, foxa2, gata4, hnf4a, ptpn11a, serpine2, tgfb2, tspo, wnt3a","ACCUMULATION DAMAGED MITOCHONDRIAL DNA"
"RESPONSE TO ESTRADIOL","4","0.0691150532141437","0.314378292095693","13.33","cyp1a, hsf1, igfbp2a, ncoa3","REDUCTION PLASMA 17BETA-ESTRADIOL CONCENTRATIONS"
"DECREASED FERTILITY","4","0.0721399164820013","0.45078931870467","5.26","foxa2, gata4, ptpn11a, stub1","IMPAIRED FERTILITY; DECREASED SPERM QUANTITY OR QUALITY IN THE ADULT DECREASED FERTILITY; REDUCTION CUMULATIVE FECUNDITY AND SPAWNING; DECREASED SPERM QUANTITY OR QUALITY IN THE ADULT DECREASED FERTILITY; DECREASED SPERM QUANTITY OR QUALITY IN THE ADULT DECREASED FERTILITY; DECREASED TESTOSTERONE"
"ABNORMAL CIRCULATING FATTY ACID CONCENTRATION","2","0.0727484419039121","0.377367579363221","22.22","dldh, hnf4a","ACCUMULATION FATTY ACID"
"GO:0099536","5","0.0780592268006042","0.302624329021745","4.5","abl1, adora2aa, pcdh17, serpine2, wnt3a","DECREASED NEURONAL NETWORK FUNCTION IN ADULT BRAIN; DECREASED NEURONAL NETWORK FUNCTION IN ADULT BRAIN"
"GO:1903409","3","0.0783618428975307","0.470813464811281","12","cyp1a, insrb, tspo","INCREASE ROS PRODUCTION; PRODUCTION REACTIVE OXYGEN SPECIES"
"GO:0009790","16","0.094997919420457","0.101500625693519","9.47","abl1, cebpa, dldh, foxa2, gata4, hnf4a, hsf1, insrb, mmp9, pax5, rnaseh2b, smad1, tgfb2, wnt3a, xab2, zeb1b","DEFECT OF EMBRYOGENESIS"
