"","Num","POD","SD","%","Genes","KE"
"CYTOPLASMIC RIBOSOMAL PROTEINS","4","0.0012862763219599","0.630915466289216","2.78","rpl21, rpl24, rpl7, rps26l","OCCURRENCE CYTOPLASMIC VACUOLIZATION PODOCYTE"
"GO:0006412","6","0.00154520749388221","0.320726181589356","5.56","eif3ha, eif3i, eif4e2rs1, rpl21, rpl24, rps26l","ALTERED PROTEIN PRODUCTION"
"ABNORMALITY OF THE BLADDER","5","0.00628702652561033","0.227883295917965","9.62","cdkn1ca, copb2, stk11, tbp, tgfb1a","REDUCED POSTERIOR SWIM BLADDER INFLATION; REDUCED ANTERIOR SWIM BLADDER INFLATION; INCREASE URINARY BLADDER CALCULI"
"GO:0015464","2","0.0066804104389693","0.530380319020381","25","chrna1, chrna2a","ACTIVATION NICOTINIC ACETYLCHOLINE RECEPTOR"
"INHIBITION ACETYLCHOLINESTERASE ACHE","2","0.0066804104389693","0.530380319020381","18.18","chrna1, chrna2a","INHIBITION ACETYLCHOLINESTERASE ACHE"
"ABNORMAL CARDIAC TEST","2","0.00678554205074644","0.587794232781525","15.38","cyp17a1, gmppb","INCREASED CARDIAC ARRTHYMIA"
"GO:0016310","9","0.00872991954549077","0.167253117555428","7.2","cdk7, cdkn1ca, epha2a, flt1, jak2a, pak2a, pak2b, prkcz, stk11","ACTIVATION SP1"
"G TGF BETA SIGNALING PATHWAY","3","0.00887321970634369","0.490493992689108","4.41","ppp2cb, smad2, tgfb1a","ACTIVATION TGF-BETA PATHWAY; UP REGULATION TGFBETA1 EXPRESSION"
"GO:0004882","3","0.00911115984530549","0.650572041205935","8.57","cdk7, ncoa1, rb1","N/A ANDROGEN RECEPTOR ANTAGONISM; AGONISM ANDROGEN RECEPTOR; DECREASED ANDROGEN RECEPTOR ACTIVITY; ACTIVATION ANDROGEN RECEPTOR"
"GO:0030154","3","0.00944319549361491","0.782664278702529","4.62","atoh8, otpb, rb1","DIFFERENTIATION OF MYOFIBROBLAST"
"GO:0022414","3","0.0122846637641662","0.219293462754561","8.33","cyp17a1, rpa1, smad2","INCREASED REPRODUCTIVE SUCCESS"
"ABNORMAL BLOOD SODIUM CONCENTRATION","2","0.0125210596531811","1.31224911569795","22.22","cyp11a1, nr3c2","DECREASED SODIUM CONDUCTANCE 2; DECREASED SODIUM REABSORPTION"
"ABNORMALITY OF THE PITUITARY GLAND","4","0.01397209123693","0.497382122170427","8.33","cdkn1ca, cyp11a1, cyp17a1, pola1","INCREASED ADENOMAS PITUITARY"
"DECREASED FERTILITY","3","0.0149657217768874","0.580462798803504","3.95","cyp11a1, cyp17a1, tgfb1a","IMPAIRED FERTILITY; DECREASED SPERM QUANTITY OR QUALITY IN THE ADULT DECREASED FERTILITY; REDUCTION CUMULATIVE FECUNDITY AND SPAWNING; DECREASED SPERM QUANTITY OR QUALITY IN THE ADULT DECREASED FERTILITY; DECREASED SPERM QUANTITY OR QUALITY IN THE ADULT DECREASED FERTILITY; DECREASED TESTOSTERONE"
"POSITIVE REGULATION OF GENE EXPRESSION","8","0.0162884685765504","0.196913073035703","4.42","cyp26b1, egr1, hspa8, mt2, polr3b, prkcz, tbp, tgfb1a","ALTERED GENE EXPRESSION"
