"","Num","POD","SD","%","Genes","KE"
"ABNORMAL CORNEAL EPITHELIUM MORPHOLOGY","2","0.0355456667554751","0.287650343632774","15.38","foxc1a, ikbkap","INCREASED ACCUMULATION OF ALPHA2U MICROGLOBULIN PROXIMAL TUBULAR EPITHELIUM"
"GO:0006636","2","0.273076906049814","0.930209297036116","16.67","ptges3a, sirt1","UP REGULATION UNSATURATED FATTY ACID"
"ABNORMAL RENAL TUBULE MORPHOLOGY","2","1.14918686997703","1.35510156208612","22.22","cpt2, foxc1a","OCCURRENCE CYSTIC DILATATION RENAL TUBULE; OCCURRENCE CYTOPLASMIC VACUOLIZATION RENAL TUBULE"
"GO:0045444","3","1.22650432437556","0.568180376681903","7.32","arntl1a, sirt1, tfap2b","INCREASED ADIPOGENESIS"
"GO:0003714","4","1.47136415161372","0.344360945858473","20","hdac3, sirt1, srsf2a, tfap2b","STABILIZATION PPAR ALPHA CO-REPRESSOR"
"GO:0001935","3","1.63903096585842","0.624104131908712","8.33","f3b, fgfr1b, sirt1","INCREASED PROLIFERATION ENDOTHELIAL CELLS"
"GO:0007249","3","1.92094916962293","0.634472864169329","6.98","rela, sirt1, tradd","INHIBITION NUCLEAR FACTOR KAPPA B NF-KB"
"ABNORMAL BLOOD SODIUM CONCENTRATION","2","2.20153830243836","0.979442285370082","22.22","fgfr1b, ikbkap","DECREASED SODIUM CONDUCTANCE 2; DECREASED SODIUM REABSORPTION"
"NEURODEGENERATION","3","5.38555412990039","0.453453408153934","20","pcna, sod1, uchl1","N/A NEURODEGENERATION"
"GO:0006633","6","5.7528732226863","0.23437880146489","20.69","abcd3a, acadl, cyp1a, fasn, ptges3a, sirt1","SYNTHESIS DE NOVO FA; INCREASED DE NOVO FA SYNTHESIS; INCREASED DE NOVO FA SYNTHESIS"
"GO:0048870","12","5.99957149067561","0.12555165685857","6","acvr1l, f3b, fgfr1b, foxc1a, ikbkap, mdm2, mmp28, pgam1a, serpine1, sirt1, tgfb2, tradd","INCREASED MOTILITY"
"GO:0044703","11","6.01795618470493","0.124871044754109","9.48","acvr1l, arntl1a, cyp1a, foxc1a, fsta, hsd11b2, paqr7b, ppat, sirt1, sod1, tbp","N/A REPRODUCTIVE FAILURE"
"ABNORMALITY OF REPRODUCTIVE SYSTEM PHYSIOLOGY","6","6.4886232623413","0.282048519419087","5.83","eif2b3, fgfr1b, gata4, mdm2, serpine1, uchl1","N/A IMPAIRMENT OF REPRODUCTIVE CAPACITY"
"PEPTIDYL LYSINE MODIFICATION","4","8.29608184350709","0.467092339485867","5.63","mdm2, rela, sirt1, uba2","N/A COVALENT BINDING TO PROTEIN POSSIBLY LYSINE RESIDUE"
"RESPONSE TO REACTIVE OXYGEN SPECIES","5","8.83779117808772","0.327343935083069","8.93","pcna, rela, sirt1, sod1, tra2b","INCREASED REACTIVE OXYGEN SPECIES"
"GO:0040011","14","8.96415814236897","0.103932709250324","6.17","acvr1l, agrn, f3b, fgfr1b, foxc1a, ikbkap, lhx2b, mdm2, mmp28, pgam1a, serpine1, sirt1, tgfb2, tradd","INCREASED LOCOMOTION; INCREASED MUSCULAR WAVES IN FOOT; DECREASED LOCOMOTION"
"GO:0072358","11","9.23853727783275","0.132957534420837","9.91","acvr1l, dhcr7, f3b, fgfr1b, foxc1a, gata4, mdm2, serpine1, sirt1, tfap2b, tgfb2","ALTERED CARDIOVASCULAR DEVELOPMENT/FUNCTION"
"CYANOSIS","3","9.31667799944977","0.58076986987592","15.79","agrn, gata4, ikbkap","N/A CYANOSIS OCCURS"
"UPPER MOTOR NEURON DYSFUNCTION","10","9.35222675287867","0.128967319826028","2.11","adsl, dhcr7, eif2b3, fgfr1b, gfap, gria3b, ndufs4, sod1, tbp, uchl1","DECREASE HISTAMINERGIC NEURON EXCITATION; OCCURRENCE CYTOPLASMIC VACUOLIZATION BILE DUCT CELL; OCCURRENCE CYTOPLASMIC VACUOLIZATION KUPFFER CELL"
"GO:0030163","9","10.0069551699096","0.151195739593616","5.88","anapc10, arntl1a, chek2, csnk1e, gfap, mdm2, rela, sirt1, uchl1","INCREASED CATABOLISM OF MUSCLE PROTEIN"
"INCREASED SUSCEPTIBILITY TO FRACTURES","5","10.0664649987094","0.249876278831364","14.29","chek2, fgfr1b, ikbkap, rb1, srsf2a","INCREASED DISEASE SUSCEPTIBILITY"
"CTOME ACTIVATION OF GENE EXPRESSION BY SREBF SREBP","2","10.3765168161458","0.0287460950997902","16.67","dhcr7, fasn","UP REGULATION SREBF2"
"GO:0042698","4","10.3790658083637","0.482570305533208","18.18","casp2, pcna, sirt1, tgfb2","IRREGULARITIES OVARIAN CYCLE"
"GO:0050673","7","11.0242210768854","0.194384617482786","8.54","f3b, fgfr1b, fsta, mycb, rb1, sirt1, tgfb2","INCREASE REGENERATIVE CELL PROLIFERATION TUBULAR EPITHELIAL CELLS; INCREASE REGENERATIVE CELL PROLIFERATION TERMINAL BRONCHIOLAR EPITHELIAL CELLS"
"GO:0005102","13","12.7381853757599","0.0894796778055518","6.25","arntl1a, bmp1a, fgfr1b, fsta, mdm2, pcna, rb1, serpine1, sirt1, tbp, tgfb2, tradd, uchl1","DECREASED TESTOSTERONE BINDING TO ANDROGEN RECEPTOR HYPOTHALAMUS"
"ABNORMAL SOCIAL BEHAVIOR","4","13.1968680734487","0.319773503429494","15.38","adsl, gria3b, ndufs4, uchl1","ABNORMAL FORAGING ACTIVITY AND BEHAVIOR"
"ABNORMAL RESPIRATORY SYSTEM MORPHOLOGY","13","13.4858249125597","0.095148144749012","8.84","agrn, chek2, dhcr7, fgfr1b, foxc1a, gata4, ikbkap, mdm2, rb1, rela, sod1, srsf2a, tgfb2","INCREASED RESPIRATORY DISTRESS/ARREST"
"GO:0006281","5","13.5457523125566","0.33757569606465","5.88","axin2, chek2, csnk1e, pcna, sirt1","N/A INSUFFICIENT OR INCORRECT DNA REPAIR; INCREASED INSUFFICIENT REPAIR OR MIS-REPAIR OF PRO-MUTAGENIC DNA ADDUCTS; OVERWHELMED MITOCHONDRIAL DNA REPAIR MECHANISMS; INCREASED DNA DAMAGE-REPAIR"
"ABNORMAL LUNG MORPHOLOGY","12","13.9938909828022","0.107542529477318","9.38","agrn, chek2, dhcr7, fgfr1b, foxc1a, gata4, ikbkap, mdm2, rb1, rela, srsf2a, tgfb2","INCREASE ADENOMAS/CARCINOMAS BRONCHIOLOALVEOLAR"
"GO:0006629","17","14.9414672928456","0.0558393227076421","8.25","abcd3a, acad8, acadl, agrn, alg6, cpt2, cyp1a, cyp24a1, dhcr7, fasn, fgfr1b, hdac3, hsd11b2, ptges3a, rb1, sirt1, sod1","ALTERATION LIPID METABOLISM"
"GO:0000003","17","15.0858599568089","0.0719465843438973","8.37","acvr1l, arntl1a, casp2, cyp1a, foxc1a, fsta, gata4, hsd11b2, neurog1, paqr7b, pcna, pgam1a, ppat, sirt1, sod1, tbp, tgfb2","REDUCED REPRODUCTIVE SUCCESS; REPRODUCTIVE FAILURE"
"GO:0001816","7","15.4826162585187","0.199963859642326","5.83","fgfr1b, gata4, rela, serpine1, sirt1, sod1, tgfb2","NON-NEURONAL PRODUCTION OF TNF EPITHELIAL IRRITATION; PRODUCTION OF NERVE GROWTH FACTOR  EPITHELIAL IRRITATION; NON-NEURONAL PRODUCTION OF IL-8/CXCL1 EPITHELIAL IRRITATION"
"GO:0030154","10","15.635524187533","0.111538967335682","15.38","agrn, foxc1a, fsta, fstb, neurog1, nkx2.7, otpb, paqr7b, rb1, rxrab","DIFFERENTIATION OF MYOFIBROBLAST"
