"","Num","POD","SD","%","Genes","KE"
"ABNORMALITY OF ADRENAL PHYSIOLOGY","3","0.0194799741973659","0.707919647221931","3.26","hsd11b2, mcm4, smarcb1a","INCREASE RENAL PATHOLOGY DUE TO VTG DEPOSITION; DECREASED RENAL ABILITY TO DILUTE URINE; OCCURRENCE KIDNEY TOXICITY; INCREASED KIDNEY FAILURE"
"RESPONSE TO REACTIVE OXYGEN SPECIES","3","0.126501406757179","0.557302884833832","5.36","cd36, hdac6, mapk9","INCREASED REACTIVE OXYGEN SPECIES"
"GO:0019904","6","0.159114718527581","0.409813379739987","4.88","casp8, foxa2, hspa8, lin7a, tradd, vapal","N/A INTERFERENCES WITH SH-/SELEN-PROTEINS"
"GO:0007269","3","0.176020335265341","0.937665515976011","12","chrm2a, hspa8, lin7a","OVERACTIVATION NEURONOTRANSMITTER RELEASE"
"G TGF BETA SIGNALING PATHWAY","4","0.239960467201616","0.319251135956262","5.88","acvr2b, inhbb, rock1, smad7","ACTIVATION TGF-BETA PATHWAY; UP REGULATION TGFBETA1 EXPRESSION"
"GO:0007249","8","0.240602003238382","0.228879744484068","18.6","casp8, cd36, nfkb1, rock1, roraa, tradd, ube2na, vapal","INHIBITION NUCLEAR FACTOR KAPPA B NF-KB"
"GO:0001775","16","0.256064860332776","0.121676344199351","8.16","casp8, cd36, cd63, ctsc, hspa8, igfbp2a, lfng, mvp, nfkb1, nme2b.2, pa2g4b, psmb7, rock1, roraa, smad7, vapal","ACTIVATION DENDRITIC CELLS"
"GO:0030154","4","0.339381809279526","0.325971672713046","6.15","foxa2, lfng, rxrab, sox1b","DIFFERENTIATION OF MYOFIBROBLAST"
"GO:0072358","9","0.371270469438936","0.132322280951375","8.11","acvr2b, akt3a, e2f7, ptgs2b, rock1, roraa, smad7, tek, tfap2b","ALTERED CARDIOVASCULAR DEVELOPMENT/FUNCTION"
"GO:0006281","6","0.374174932228772","0.336605165718031","7.06","csnk1e, gtf2h5, mcm4, mre11a, ruvbl1, ube2na","N/A INSUFFICIENT OR INCORRECT DNA REPAIR; INCREASED INSUFFICIENT REPAIR OR MIS-REPAIR OF PRO-MUTAGENIC DNA ADDUCTS; OVERWHELMED MITOCHONDRIAL DNA REPAIR MECHANISMS; INCREASED DNA DAMAGE-REPAIR"
