"","Num","POD","SD","%","Genes","KE"
"ABNORMAL LIVER MORPHOLOGY","5","0.00420636008459745","0.463704340423514","4.2","casp8, ctsc, dhfr, hnf4a, psmb4","INDUCTION LIVER “DYSFUNCTIONAL” CHANGES BY CGA 330050; INFLAMMATION LIVER; N/A LIVER FIBROSIS; INCREASE RBC CONGESTION IN LIVER; INCREASE LIVER AND SPLENIC HEMOSIDEROSIS; REDUCTION VITELLOGENIN SYNTHESIS IN LIVER; INCREASE VITELLOGENIN SYNTHESIS IN LIVER; FORMATION LIVER FIBROSIS; FORMATION LIVER TUMOR"
"BRADYCARDIA","2","0.0046273248977259","1.29152193477277","33.33","nppa, uqcrfs1","INCREASED ATRIOVENTRICULAR BLOCK AND BRADYCARDIA"
"SQUAMOUS CELL CARCINOMA","2","0.00565864616811414","1.63769439583556","20","ctsc, tgfbr2","INCREASE PAPILLOMAS/CARCINOMAS SQUAMOUS CELLS; INCREASE RESPIRATORY OR SQUAMOUS METAPLASIA; SQUAMOUS METAPLASIA ABERRANT BASAL CELLS"
"ABNORMALITY OF THE ABDOMINAL ORGANS","9","0.00680117086075419","0.240339659195049","5.33","casp8, ctsc, dhfr, hnf4a, hsd17b10, nfkb1, psmb4, tgfbr2, uqcrfs1","IMPAIRED DEVELOPMENT OF REPRODUCTIVE ORGANS"
"ABNORMALITY OF THE LIVER","9","0.00680117086075419","0.240339659195049","1.2","casp8, ctsc, dhfr, hnf4a, hsd17b10, nfkb1, psmb4, tgfbr2, uqcrfs1","INCREASED INDUCTION OF UDPGT'S IN LIVER; INCREASED LIVER STEATOSIS; INCREASED LIVER STEATOSIS; N/A HEPATOTOXICITY HEPATOPATHY INCLUDING A CONSTELLATION OF OBSERVABLE EFFECTS; INDUCTION SUSTAINED HEPATOTOXICITY"
"GO:0006629","10","0.0150344475099464","0.216464398499269","4.85","alg6, csnk2a2b, hnf4a, hsd17b10, mapk14a, nfkb1, nr1i2, sod1, tek, thraa","ALTERATION LIPID METABOLISM"
"GO:0005515","3","0.0168230710384087","0.87466459497875","6.38","kdr, ta, thraa","BINDING SH-/SELEN-PROTEINS; COVALENT BINDING PROTEIN"
"ABNORMALITY OF BLOOD AND BLOOD FORMING TISSUES","14","0.0226421233278463","0.157435561129748","3.47","alg6, casp8, dhfr, gsr, hnf4a, hsd17b10, nfkb1, pomp, psmb4, tek, tgfb3, tgfbr2, thraa, uqcrfs1","DAMAGING RED BLOOD CELLS; HEMOLYSIS"
"GO:0030163","7","0.025545825027651","0.319524133541724","4.58","bcap31, casp8, csnk2a2b, ctsc, psmb4, rnf185, rock1","INCREASED CATABOLISM OF MUSCLE PROTEIN"
"GO:0016310","7","0.031150688742246","0.283220660028249","5.6","csnk2a2b, kdr, mapk14a, nek2, rock1, tek, tgfbr2","ACTIVATION SP1"
