"","Num","POD","SD","%","Genes","KE"
"REGULATION OF WNT SIGNALING PATHWAY","4","0.000446320679195656","0.541035805909921","5.06","abl1, csnk1e, psmb7, tcf7l1a","INHIBITION WNT PATHWAY"
"ABNORMALITY OF THE MITOCHONDRION","4","0.00127167861903147","0.593936674401536","3.17","acad8, fdxr, hmgcl, ndufs6","INJURY MITOCHONDRIA; DAMAGING MITOCHONDRIA; N/A MITOCHONDRIAL DYSFUNCTION 1"
"POSITIVE REGULATION OF CALCIUM ION TRANSPORT","3","0.00139835857623035","0.199448538888691","9.38","abl1, atp1b1b, grin1a","INCREASE CA++ INTRACELLULAR; INCREASED INTRACELLULAR CALCIUM OVERLOAD"
"NRF2 PATHWAY","3","0.00141700284025604","0.790840182584767","7.5","rxraa, slc6a4a, tgfbr2","ACTIVATION NRF2"
"RESPONSE TO REACTIVE OXYGEN SPECIES","3","0.0014972261265242","0.845086038039677","5.36","abl1, btk, pcna","INCREASED REACTIVE OXYGEN SPECIES"
"LIVER X RECEPTOR PATHWAY","2","0.00261090825960294","1.70577362762069","16.67","fasn, rxraa","ACTIVATION LXR; ACTIVATION LXR ALPHA"
"BREAST CANCER PATHWAY","3","0.00401697993177994","0.80728389537435","2.63","akt3a, fgf3, tcf7l1a","N/A BREAST CANCER"
"GO:0048469","3","0.00487471253946583","0.690041904889222","12.5","agrn, btk, xbp1","INCREASED OOCYTE MATURATION"
"STEROID HORMONE MEDIATED SIGNALING PATHWAY","4","0.00503603177941616","0.696976000721562","3.92","paqr7b, rqcd1, rxraa, rxrgb","DECREASE STEROIDOGENIC ACUTE REGULATORY PROTEIN STAR; DECREASED HSD17B10 EXPRESSION; REDUCED MATURATION INDUCING STEROID PLASMA"
"GO:0019904","5","0.00599849820891192","0.566576155079186","4.07","abl1, foxa2, insrb, rqcd1, rxraa","N/A INTERFERENCES WITH SH-/SELEN-PROTEINS"
"GO:0072358","7","0.0110646075169658","0.296130643706665","6.31","abl1, akt3a, ndufs6, serpine1, smo, tgfbr2, xbp1","ALTERED CARDIOVASCULAR DEVELOPMENT/FUNCTION"
"GO:1904019","3","0.0118215312417341","0.84467406201745","13.64","abl1, serpine1, tgfbr2","DECREASE APOPTOSIS OF CILIATED EPITHELIAL CELLS"
"GO:0060291","2","0.015408010915724","1.21275141528849","14.29","abl1, serpine2","DECREASED LONG-TERM POTENTIATION LTP"
"GO:0006281","6","0.016076405649352","0.374580528910808","7.06","abl1, cdk7, chek2, csnk1e, pcna, ufd1l","N/A INSUFFICIENT OR INCORRECT DNA REPAIR; INCREASED INSUFFICIENT REPAIR OR MIS-REPAIR OF PRO-MUTAGENIC DNA ADDUCTS; OVERWHELMED MITOCHONDRIAL DNA REPAIR MECHANISMS; INCREASED DNA DAMAGE-REPAIR"
"GO:0010463","2","0.0162974467527365","1.03311651289725","16.67","smo, tgfbr2","INCREASED PROLIFERATION OF MESENCHYMAL CELLS"
"GO:0048856","3","0.0207306249539013","0.993205768943889","25","insrb, rxraa, rxrgb","ALTERED NEUROANATOMY"
"ABNORMAL CIRCULATING FATTY ACID CONCENTRATION","2","0.022472311588265","1.61927592187534","22.22","acad8, hmgcl","ACCUMULATION FATTY ACID"
"DECREASED PLASMA CARNITINE","2","0.022472311588265","1.61927592187534","28.57","acad8, hmgcl","REDUCTION PLASMA VITELLOGENIN CONCENTRATIONS; INCREASE PLASMA VITELLOGENIN CONCENTRATIONS; DECREASED RENAL PLASMA FLOW; INCREASED PLASMA TYROSINE; DECREASED PROSTAGLANDIN F2ALPHA CONCENTRATION PLASMA"
"GO:0030154","10","0.0229172231292013","0.221855270073328","15.38","abl1, agrn, fgf3, foxa2, nkx2.7, paqr7b, pparda, rxraa, rxrgb, tgfbr2","DIFFERENTIATION OF MYOFIBROBLAST"
"GO:0006629","19","0.0234476620443116","0.119027779269303","9.22","acad8, acadl, agrn, cyp26a1, cyp51, dhdds, fasn, fdxr, hmgcl, lias, ndufs6, pafah1b3, pigs, pigx, pparda, rdh10a, rxraa, sirt3, xbp1","ALTERATION LIPID METABOLISM"
"GO:0005102","16","0.0254509331223454","0.128378367865871","7.69","abl1, cdk7, fgf3, igf2b, insrb, ntrk1, pcna, rqcd1, rxraa, serpine1, serpine2, smo, tbp, tgfbr2, timp2a, ufd1l","DECREASED TESTOSTERONE BINDING TO ANDROGEN RECEPTOR HYPOTHALAMUS"
"GO:0000003","14","0.0299202763956963","0.158897629613649","6.9","igf2b, insrb, ntrk1, pafah1b3, paqr7b, pcna, pparda, rdh10a, rqcd1, rxraa, serpine2, slc6a4a, tbp, tgfbr2","REDUCED REPRODUCTIVE SUCCESS; REPRODUCTIVE FAILURE"
"CTOME ACTIVATION OF GENE EXPRESSION BY SREBF SREBP","3","0.0374226018210254","1.04513212049274","25","cyp51, fasn, rxraa","UP REGULATION SREBF2"
"REGULATION OF SODIUM ION TRANSPORT","2","0.042142359194089","0.903765362122455","16.67","atp1b1b, serpine2","INHIBITION SODIUM CHANNEL; MODULATION SODIUM CHANNEL"
"GO:0001775","11","0.046083872468008","0.16931914337456","5.61","abl1, apaf1, btk, igf2b, ntrk1, psmb7, serpine2, smo, tgfbr2, timp2a, xbp1","ACTIVATION DENDRITIC CELLS"
"PEPTIDYL LYSINE MODIFICATION","5","0.0467215795043534","0.508831217842151","7.04","gnl3, lias, nup37, plod3, sirt3","N/A COVALENT BINDING TO PROTEIN POSSIBLY LYSINE RESIDUE"
"HEPATOCELLULAR CARCINOMA","3","0.0473280740027336","0.555445282543576","23.08","cpox, igf2b, tgfbr2","FORMATION HEPATOCELLULAR AND BILE DUCT TUMORS; INCREASE ADENOMAS/CARCINOMAS HEPATOCELLULAR; TUMORIGENESIS HEPATOCELLULAR CARCINOMA"
"SOMATIC MUTATION","5","0.0502022635879232","0.39717185035697","5.95","abl1, chek2, igf2b, smo, tgfbr2","INCREASED INDUCED MUTATIONS IN CRITICAL GENES; INCREASE MUTATIONS; INCREASE MUTATIONS IN CRITICAL GENES"
"GO:0016310","12","0.0599076495816518","0.161498658456085","9.6","abl1, akt3a, btk, cdk7, chek2, csf1ra, csnk1e, insrb, ntrk1, psmb7, raf1a, tgfbr2","ACTIVATION SP1"
"POSITIVE REGULATION OF GENE EXPRESSION","7","0.0621444480399172","0.232653890419114","3.87","abl1, fgf3, serpine1, slc6a4a, smo, tbp, xbp1","ALTERED GENE EXPRESSION"
