"","Num","POD","SD","%","Genes","KE"
"RESPONSE TO REACTIVE OXYGEN SPECIES","3","0.000131886651621274","0.10176153302304","5.36","anxa1a, cyp2y3, sod1","INCREASED REACTIVE OXYGEN SPECIES"
"GO:0019226","3","0.00508476164241159","0.900353191591311","25","chrna1, scn1lab, sod1","REDUCTION ECDYSIS MOTONEURON BURSTS"
"ABNORMALITY OF THE BLADDER","6","0.0144700601893187","0.31122075296401","11.54","aldh18a1, cdc45, glud1a, plod1a, scn1lab, smo","REDUCED POSTERIOR SWIM BLADDER INFLATION; REDUCED ANTERIOR SWIM BLADDER INFLATION; INCREASE URINARY BLADDER CALCULI"
"GO:0050663","3","0.0164097513301614","1.06932131901542","10","anxa1a, caspa, tmsb4x","RELEASE CYTOKINE"
"GO:0006629","10","0.0232225149421569","0.260319571741159","4.85","acadl, anxa1a, cyp2y3, fgfr4, hsd11b2, ndufs6, pck2, per2, sirt3, sod1","ALTERATION LIPID METABOLISM"
"GO:0016209","2","0.0379040939760422","1.87071867200475","18.18","gsr, sod1","OXIDATION GLUTATHIONE"
"GLUTATHIONE METABOLIC PROCESS","2","0.0379040939760422","1.87071867200475","20","gsr, sod1","GLUTATHIONE SYNTHESIS; GLUTATHIONE HOMEOSTASIS"
"CTOME SIGNALING BY TYPE 1 INSULIN LIKE GROWTH FACTOR 1 RECEPTOR IGF1R","2","0.0393898293992364","1.4054785091482","15.38","fgfr4, igf1ra","INCREASED IGF-1 MOUSE"
"GO:0009611","6","0.0413306315628633","0.498261294937321","5.36","anxa1a, erbb2, gli1, pdx1, smad2, sod1","ACCUMULATION DAMAGED MITOCHONDRIAL DNA"
"GO:0000003","9","0.0566305250861107","0.278336189573075","4.43","adcyap1b, anxa1a, gli1, gli2a, hsd11b2, igf2a, sod1, tcf7, thrb","REDUCED REPRODUCTIVE SUCCESS; REPRODUCTIVE FAILURE"
"GO:0001816","7","0.0783861412187551","0.364839654443532","5.83","adcyap1b, anxa1a, caspa, polr3f, polr3h, sod1, tmsb4x","NON-NEURONAL PRODUCTION OF TNF EPITHELIAL IRRITATION; PRODUCTION OF NERVE GROWTH FACTOR  EPITHELIAL IRRITATION; NON-NEURONAL PRODUCTION OF IL-8/CXCL1 EPITHELIAL IRRITATION"
"GO:0006954","9","0.0885117062088926","0.290235152342749","7.69","adcyap1b, anxa1a, caspa, ogg1, scn1lab, smo, sod1, tmsb4x, vcam1","INCREASE INFLAMMATION; INCREASE INFLAMMATION CORNEAL CELLS; INFILTRATION INFLAMMATORY CELLS; INCREASED INFLAMMATION; CHRONIC COUGH RESPIRATORY IRRITABILITY"
"GO:0044703","5","0.0919637806182531","0.564839558589652","4.31","adcyap1b, gli1, hsd11b2, sod1, thrb","N/A REPRODUCTIVE FAILURE"
"ABNORMALITY OF BLOOD AND BLOOD FORMING TISSUES","10","0.106934922080088","0.211783174910697","2.48","cyp2y3, gli1, gsr, mcm4, pdx1, plod1a, rps10, scn1lab, smo, tpi1b","DAMAGING RED BLOOD CELLS; HEMOLYSIS"
"PARALYSIS","5","0.109705357213268","0.531947426486998","21.74","aldh18a1, pola1, scn1lab, sod1, tpi1b","INDUCTION SOMATIC MUSCLE PARALYSIS; INDUCTION PHARYNGEAL MUSCLE PARALYSIS"
"GO:0048870","7","0.128584720667696","0.36581822557851","3.5","anxa1a, erbb2, fgfr4, igf1ra, smo, tmsb4x, vcam1","INCREASED MOTILITY"
"ABNORMAL RESPIRATORY SYSTEM MORPHOLOGY","13","0.130363372167899","0.159244756478929","8.84","aldh18a1, cdc45, chrna1, gli1, gli2a, mcm4, plod1a, pola1, polr3h, scn1lab, smo, sod1, unga","INCREASED RESPIRATORY DISTRESS/ARREST"
"GO:0009790","9","0.165830826250324","0.25622883819388","5.33","gli1, gli2a, igf2a, pdx1, smad1, smad2, smo, sod1, tcf7","DEFECT OF EMBRYOGENESIS"
"GO:0006936","5","0.189303989394356","0.576490389404459","9.09","chrna1, eno1a, ndufs6, scn1lab, sod1","REDUCTION ABDOMINAL MUSCLE CONTRACTION; OVERACTIVATION MUSCLE CONTRACTION"
"GO:0050673","3","0.192025040396668","1.00234737015643","3.66","erbb2, gli1, smo","INCREASE REGENERATIVE CELL PROLIFERATION TUBULAR EPITHELIAL CELLS; INCREASE REGENERATIVE CELL PROLIFERATION TERMINAL BRONCHIOLAR EPITHELIAL CELLS"
"HYPERACTIVITY","5","0.22439888108787","0.550088885770394","10","gli2a, glud1a, pola1, scn1lab, thrb","INDUCTION ATAXIA PARALYSIS OR HYPERACTIVITY; INCREASED ATAXIA PARALYSIS OR HYPERACTIVITY; N/A ATAXIA PARALYSIS OR HYPERACTIVITY"
"ABNORMAL LUNG MORPHOLOGY","12","0.24006435736289","0.159818592291636","9.38","aldh18a1, cdc45, chrna1, gli1, gli2a, mcm4, plod1a, pola1, polr3h, scn1lab, smo, unga","INCREASE ADENOMAS/CARCINOMAS BRONCHIOLOALVEOLAR"
"UPPER MOTOR NEURON DYSFUNCTION","7","0.279672348724932","0.326226875029471","1.48","aldh18a1, gli2a, pola1, scn1lab, smo, sod1, tpi1b","DECREASE HISTAMINERGIC NEURON EXCITATION; OCCURRENCE CYTOPLASMIC VACUOLIZATION BILE DUCT CELL; OCCURRENCE CYTOPLASMIC VACUOLIZATION KUPFFER CELL"
"GO:0046903","14","0.352816449886324","0.178854106311591","6.06","adcyap1b, anxa1a, atp6v0ca, caspa, cfd, glud1a, igf2a, pdx1, per2, ptprb, sirt3, smad2, sod1, tmsb4x","SUPPRESSION VLDL SECRETION; INCREASE MUCIN PRODUCTION; INCREASED SECRETION OF LOCAL GROWTH FACTORS"
"GO:0040011","10","0.366174264490787","0.221723859245177","4.41","anxa1a, erbb2, fgfr4, gli2a, igf1ra, plp2, rpl24, smo, tmsb4x, vcam1","INCREASED LOCOMOTION; INCREASED MUSCULAR WAVES IN FOOT; DECREASED LOCOMOTION"
"GO:0005515","6","0.408488491942883","0.443009322726384","12.77","fgfr4, gli1, smad2, ta, thrb, vegfaa","BINDING SH-/SELEN-PROTEINS; COVALENT BINDING PROTEIN"
"ABNORMAL LIVER MORPHOLOGY","3","0.421466541407567","0.785015589672512","2.52","mcm4, ndufs6, pck2","INDUCTION LIVER “DYSFUNCTIONAL” CHANGES BY CGA 330050; INFLAMMATION LIVER; N/A LIVER FIBROSIS; INCREASE RBC CONGESTION IN LIVER; INCREASE LIVER AND SPLENIC HEMOSIDEROSIS; REDUCTION VITELLOGENIN SYNTHESIS IN LIVER; INCREASE VITELLOGENIN SYNTHESIS IN LIVER; FORMATION LIVER FIBROSIS; FORMATION LIVER TUMOR"
"ABNORMAL NASAL MORPHOLOGY","7","0.515432017546965","0.268294861238455","4.52","gli2a, igf1ra, plod1a, prpf4, rps10, scn1lab, smo","INCREASE SITE OF CONTACT NASAL TUMORS"
"POSITIVE REGULATION OF GENE EXPRESSION","12","0.579318497909836","0.187409845284302","6.63","adcyap1b, anxa1a, caspa, eno1a, erbb2, fgfr4, polr3f, polr3h, smad1, smo, sod1, vegfaa","ALTERED GENE EXPRESSION"
