"","Num","POD","SD","%","Genes","KE"
"GO:0001963","2","0.0041095200254497","1.75529262643209","16.67","ptgs2b, th","INCREASE DOPAMINERGIC ACTIVITY; DECREASED DOPAMINERGIC ACTIVITY"
"GO:0006816","2","0.00515841337565725","1.55489606839751","18.18","cacna1ba, cacna1bb","DECREASED CALCIUM INFLUX; REDUCTION CA AND HCO3 TRANSPORT TO SHELL GLAND; OPENING OF CALCIUM CHANNEL CALCIUM INFLUX"
"REGULATION OF WNT SIGNALING PATHWAY","3","0.0188796107415036","0.826427633091006","3.8","arntl1b, mdka, nfkb1","INHIBITION WNT PATHWAY"
"GO:0007268","3","0.0313547070028119","0.861417945609971","8.57","cacna1ba, cacna1bb, chrm2a","REDUCTION NEURONAL SYNAPTIC INHIBITION"
"ELECTRON TRANSPORT CHAIN","3","0.0337706928891854","0.92513064596493","4.41","C24H11orf65, cox6c, cyp1a","DISRUPTION MITOCHONDRIAL ELECTRON TRANSPORT CHAIN"
"LOCOMOTORY BEHAVIOR","3","0.051812967263068","1.03544467592016","4.84","ptena, slc18a2, th","REDUCED SWIMMING SPEED; REDUCED SWIMMING PERFORMANCE"
"GO:0019098","3","0.0632268450667212","1.06321841163298","33.33","ncoa1, ptena, th","ALTERED REPRODUCTIVE BEHAVIOUR; REDUCED BROOD CARE"
"MATING BEHAVIOR","3","0.0632268450667212","1.06321841163298","33.33","ncoa1, ptena, th","REDUCED ABILITY TO ATTRACT SPAWNING MATES"
"REPRODUCTIVE BEHAVIOR","3","0.0632268450667212","1.06321841163298","30","ncoa1, ptena, th","REDUCED SPAWNING BEHAVIOR"
"CTOME ACTIVATION OF AMPK DOWNSTREAM OF NMDARS","3","0.0850143139168467","1.13428840750094","23.08","tuba8l3, tuba8l4, tubb2","INHIBITION NMDARS; OVERACTIVATION NMDARS"
"GO:0045333","4","0.115164168657983","0.6260295184721","5.56","C24H11orf65, cisd1, cox6c, cyp1a","INCREASE OXIDATIVE METABOLISM"
"GO:0099536","11","0.115774037799676","0.188314445097469","9.91","adora1, cacna1ba, chrm2a, oprm1, prkcz, ptena, ptgs2b, slc18a2, slc32a1, th, tubb2","DECREASED NEURONAL NETWORK FUNCTION IN ADULT BRAIN; DECREASED NEURONAL NETWORK FUNCTION IN ADULT BRAIN"
"HYPERACTIVITY","5","0.151720156581605","0.47735003646751","10","cacna1ba, cdkn1ca, smc3, tbx1, tubb2","INDUCTION ATAXIA PARALYSIS OR HYPERACTIVITY; INCREASED ATAXIA PARALYSIS OR HYPERACTIVITY; N/A ATAXIA PARALYSIS OR HYPERACTIVITY"
"STEROID HORMONE MEDIATED SIGNALING PATHWAY","6","0.237810536317994","0.333743678777114","5.88","arntl1b, bmp4, foxa1, hdac6, pparab, rxrgb","DECREASE STEROIDOGENIC ACUTE REGULATORY PROTEIN STAR; DECREASED HSD17B10 EXPRESSION; REDUCED MATURATION INDUCING STEROID PLASMA"
"RESPONSE TO ESTRADIOL","5","0.243142908453926","0.478763896866256","16.67","cyp1a, foxa1, ncoa1, ptena, th","REDUCTION PLASMA 17BETA-ESTRADIOL CONCENTRATIONS"
"GO:0005515","5","0.341426774878257","0.468092796563381","10.64","arntl1b, gata1a, smad2, tbx1, tp53","BINDING SH-/SELEN-PROTEINS; COVALENT BINDING PROTEIN"
"GO:0022414","5","0.359619412212653","0.510806702479549","13.89","cyp17a1, h2afx, rpa1, smad2, tp53","INCREASED REPRODUCTIVE SUCCESS"
"GO:0006281","12","0.400988325301226","0.169859980629511","14.12","cdc7, chek2, fzr1a, h2afx, lig3, pold2, polr2gl, rfc1, rpa1, smc3, tp53, whsc1","N/A INSUFFICIENT OR INCORRECT DNA REPAIR; INCREASED INSUFFICIENT REPAIR OR MIS-REPAIR OF PRO-MUTAGENIC DNA ADDUCTS; OVERWHELMED MITOCHONDRIAL DNA REPAIR MECHANISMS; INCREASED DNA DAMAGE-REPAIR"
"GO:0044414","5","0.466627469104367","0.522745066135123","12.5","atp6v1e1b, cd36, tuba8l3, tuba8l4, tubb2","SUPPRESSION IMMUNE SYSTEM"
"GO:0009790","21","0.529179026886754","0.0784276450592416","12.43","bmp4, cdkn1ca, CT826376.2, e2f8, foxa1, gata1a, hmx2, hoxb2a, hoxb3a, hoxb5a, krt8, mmp9, ncoa1, nfe2l2a, nup133, smad2, tbx1, tfap2a, th, tp53, tubb2","DEFECT OF EMBRYOGENESIS"
"GO:0030545","5","0.538907442030704","0.133606181545308","8.47","bmp4, CT826376.2, mdka, sema3d, trh","DESENSITIZATION NICOTINIC ACETYLCHOLINE RECEPTOR"
"UPPER MOTOR NEURON DYSFUNCTION","16","0.572747467719534","0.1165833419974","3.38","abcb7, ap1s2, atp6v1e1b, cacna1ba, exosc9, impdh1b, nup133, pcbd1, ptena, rfc1, roraa, slc18a2, smc3, th, tp53, tubb2","DECREASE HISTAMINERGIC NEURON EXCITATION; OCCURRENCE CYTOPLASMIC VACUOLIZATION BILE DUCT CELL; OCCURRENCE CYTOPLASMIC VACUOLIZATION KUPFFER CELL"
"GO:0000003","25","0.609013274410804","0.0608383002028278","12.32","bmp4, cad, cdkn1ca, cyp17a1, cyp1a, E2F1, e2f8, foxa1, foxa3, fzr1a, gata1a, h2afx, hsd11b2, krt8, mdka, mmp9, ncoa1, oprm1, pparda, ptena, ptgs2b, rpa1, rpl39, smc3, th","REDUCED REPRODUCTIVE SUCCESS; REPRODUCTIVE FAILURE"
"GO:0007568","14","0.610380485321386","0.106513378572388","16.28","cdkn1ca, chek2, ctsc, cyp1a, fzr1a, h2afx, nfe2l2a, nfkb2, ptena, ptgs2b, serpine1, slc32a1, th, tp53","ACCELERATED AGING"
