"","Num","POD","SD","%","Genes","KE"
"INCREASED LEVEL OF HIPPURIC ACID IN URINE","2","2.95199601583942","1.12649101273207","66.67","bckdha, pccb","INCREASED BLOOD URIC ACID CONCENTRATION"
"GO:1904019","4","3.03875164619919","0.547828141638459","18.18","cd40, hmox1a, rb1, tek","DECREASE APOPTOSIS OF CILIATED EPITHELIAL CELLS"
"LIPID METABOLISM PATHWAY","2","3.23276792834356","1.15439257084853","16.67","bckdha, fasn","DAMAGE LIPID BILAYER"
"GO:0043542","5","6.31077035903406","0.406115471719338","14.29","acvrl1, cd40, hmox1a, id1, tek","INCREASED MIGRATION ENDOTHELIAL CELLS"
"SOMATIC MUTATION","4","12.1728138561647","0.525386986475857","4.76","pax6b, ptpn11a, rad54l, rb1","INCREASED INDUCED MUTATIONS IN CRITICAL GENES; INCREASE MUTATIONS; INCREASE MUTATIONS IN CRITICAL GENES"
"ABNORMALITY OF THE BLADDER","8","18.6736068204567","0.210650214012889","15.38","cdc45, chrm3a, hnrnpa1b, nfia, pax6b, rarga, smad3a, stub1","REDUCED POSTERIOR SWIM BLADDER INFLATION; REDUCED ANTERIOR SWIM BLADDER INFLATION; INCREASE URINARY BLADDER CALCULI"
"GO:0022414","6","18.7165368383522","0.277034965780693","16.67","ahr2, h2afx, igf1rb, mre11a, rad54l, rpa1","INCREASED REPRODUCTIVE SUCCESS"
"GO:0051899","3","19.6384424337089","0.294866254632795","14.29","chrna6, jun, kcnh2a","OCCURRENCE A PAROXYSMAL DEPOLARIZING SHIFT; PROLONGED DEPOLARIZATION OF NEURONAL MEMBRANE"
"NRF2 PATHWAY","4","19.9139330743737","0.173761072521742","10","hmox1a, hsp90aa1.2, rxraa, txn","ACTIVATION NRF2"
"GO:0006281","14","21.1956370202634","0.114628592828931","16.47","cdc45, chek1, ddb2, h2afx, hsf1, lig3, mcm4, mre11a, pola1, polr2j, rad54l, rpa1, rpa3, stub1","N/A INSUFFICIENT OR INCORRECT DNA REPAIR; INCREASED INSUFFICIENT REPAIR OR MIS-REPAIR OF PRO-MUTAGENIC DNA ADDUCTS; OVERWHELMED MITOCHONDRIAL DNA REPAIR MECHANISMS; INCREASED DNA DAMAGE-REPAIR"
"GLOMERULAR SCLEROSIS","2","21.5827139232925","0.653225594834532","14.29","ikbkap, nup133","DECREASED GLOMERULAR FILTRATION"
"ABNORMAL RENAL TUBULE MORPHOLOGY","2","22.1921376205073","0.661776695614553","22.22","nup133, pmm2","OCCURRENCE CYSTIC DILATATION RENAL TUBULE; OCCURRENCE CYTOPLASMIC VACUOLIZATION RENAL TUBULE"
"GO:0015464","2","23.797254522756","0.587432724608018","25","chrm3a, chrna6","ACTIVATION NICOTINIC ACETYLCHOLINE RECEPTOR"
"INHIBITION ACETYLCHOLINESTERASE ACHE","2","23.797254522756","0.587432724608018","18.18","chrm3a, chrna6","INHIBITION ACETYLCHOLINESTERASE ACHE"
"ABNORMAL CARDIAC TEST","2","24.5053435011722","0.230166959282192","15.38","kcnh2a, sox19b","INCREASED CARDIAC ARRTHYMIA"
"ABNORMAL BLOOD POTASSIUM CONCENTRATION","3","24.5519173760734","0.258792091893708","25","hsd11b2, hsd3b1, kcnh2a","INCREASED BLOOD POTASSIUM CONCENTRATION"
"GO:0001935","6","26.9061228521654","0.317287883209475","16.67","acvrl1, f3a, flt1, hmox1a, jun, tek","INCREASED PROLIFERATION ENDOTHELIAL CELLS"
"GO:0042701","4","28.2136688513673","0.169575066790237","11.76","hsp90aa1.1, hsp90aa1.2, igf1rb, mapk3","DECREASED PROGESTERONE FROM CORPUS LUTEUM"
"GO:0019904","26","30.5729674201645","0.0435666354843676","21.14","cd40, cdc42, chek1, dnm1l, esrra, esrrga, gria1b, hnrnpa1b, hoxb1a, hsp90aa1.2, jun, kcnh2a, lyn, ncoa2, pax6b, polr2j, pparab, ptpn11a, rb1, rnf2, rxraa, srsf10b, stub1, syk, ube2ia, ywhaz","N/A INTERFERENCES WITH SH-/SELEN-PROTEINS"
"GO:0006954","13","31.2536415755242","0.10560705794424","11.11","cd40, f3a, hmox1a, jun, lyn, pparab, rb1, rps6ka5, seh1l, sele, smad3a, syk, tek","INCREASE INFLAMMATION; INCREASE INFLAMMATION CORNEAL CELLS; INFILTRATION INFLAMMATORY CELLS; INCREASED INFLAMMATION; CHRONIC COUGH RESPIRATORY IRRITABILITY"
"GO:0019932","7","33.7558577145265","0.233065136816268","11.48","ahr1b, drd1b, drd2b, gsk3b, pde5ab, sele, syk","INCREASED SECOND MESSENGER PRODUCTION"
"ABNORMAL CIRCULATING RENIN","2","35.7478841058265","0.511317778322931","33.33","hsd11b2, hsd3b1","REDUCTION GONADOTROPINS CIRCULATING CONCENTRATIONS"
"GO:0007249","4","35.8746306770745","0.250173301396455","9.3","cd40, hmox1a, ube2ia, wls","INHIBITION NUCLEAR FACTOR KAPPA B NF-KB"
"CTOME FOXO MEDIATED TRANSCRIPTION","3","36.4179453955187","0.287405902782992","10.71","smad3a, txn, ywhaz","ACTIVATION FOXO"
"GLUCOCORTICOID RECEPTOR PATHWAY","3","36.5835673801692","0.212747805977767","12.5","hsp90aa1.2, jun, rxraa","ACTIVATION GLUCOCORTICOID RECEPTOR"
"GO:0001525","8","40.883913018101","0.206335277888494","21.62","flt1, gsk3b, hdac3, igfbp2a, rab5c, tek, vegfaa, wdr43","REDUCTION ANGIOGENESIS; INCREASED ANGIOGENESIS"
"GO:0015631","3","41.3510776566347","0.285271648923441","15.79","dnm1l, gli1, lyn","BINDING TUBULIN"
"GO:0006936","9","42.1159539988777","0.162218557707941","16.36","chrm3a, drd1b, drd2b, gamt, glra1, kcnh2a, myl6, pde5ab, tpm4a","REDUCTION ABDOMINAL MUSCLE CONTRACTION; OVERACTIVATION MUSCLE CONTRACTION"
"GO:0000003","31","47.4478277443898","0.0354218410261271","15.27","arntl1a, cad, dldh, drd1b, e2f7, eif2b4, gamt, gli1, glra1, h2afx, hsd11b2, hsd17b2, hsf1, igfbp2a, ldha, mapk3, mre11a, ndc1, P2RY1, pde5ab, ptpn11a, rad54l, rarga, rdh10a, rnf2, rpa1, rxraa, sirt2, tcf7, txn, umps","REDUCED REPRODUCTIVE SUCCESS; REPRODUCTIVE FAILURE"
"GO:0072358","18","47.6217454060998","0.0648170849194978","16.22","acvrl1, ahr1b, anxa2a, cd40, cdc42, dhcr7, e2f7, epha2a, f3a, flt1, hmox1a, id1, jun, pax6b, rras, smad1, syk, tek","ALTERED CARDIOVASCULAR DEVELOPMENT/FUNCTION"
"GO:0016310","13","47.7963927297792","0.101352702248717","10.4","acvrl1, chek1, csnk2a2a, epha2a, flt1, gsk3b, igf1rb, lyn, mapk3, rps6ka5, syk, tek, zgc-86598","ACTIVATION SP1"
"GO:0001775","20","47.8263072570959","0.0540055554003243","10.2","ahr1b, anxa2a, cd40, cdc42, hmox1a, hsp90aa1.2, igfbp2a, jun, lyn, mapk3, P2RY1, pde5ab, psmd6, ptpn11a, rab5c, rap1b, smad3a, syk, tcf7, ywhaz","ACTIVATION DENDRITIC CELLS"
"GO:0030154","12","49.4720248374549","0.0446422148082316","18.46","cpsf5, lyn, nkx2.7, nr2f5, pparab, rarga, rb1, rbl1, rxraa, rxrbb, sox19b, vegfaa","DIFFERENTIATION OF MYOFIBROBLAST"
"HEART DEVELOPMENT","14","49.9239901515314","0.0900278864926796","11.11","acvrl1, cad, cdc42, gli1, mapk3, nkx2.7, pparab, ptpn11a, rarga, rb1, smad1, smad3a, tek, vegfaa","ALTERED LARVAL DEVELOPMENT; IMPAIRED DEVELOPMENT"
"GO:0048856","4","50.1315325793118","0.0626108497684931","33.33","igf1rb, nr2f5, rxraa, rxrbb","ALTERED NEUROANATOMY"
"GO:0009790","21","50.9360228712378","0.0399680379357054","12.43","acvrl1, dad1, dldh, e2f7, flt1, gli1, hoxb1a, hsd17b2, hsf1, mapk3, nkx2.7, nup133, pax6b, rarga, rdh10a, rnf2, rxraa, smad1, smad3a, tcf7, wls","DEFECT OF EMBRYOGENESIS"
"CONSTITUTIVE ANDROSTANE RECEPTOR PATHWAY","4","51.0693068808015","0.148561516876952","13.33","alas1, hsp90aa1.2, ncoa2, rxraa","SUPPRESSION CONSTITUTIVE ANDROSTANE RECEPTOR NR1L3; ACTIVATION CONSTITUTIVE ANDROSTANE RECEPTOR"
"GO:0048870","23","54.9449188757988","0.04621830709499","11.5","acvrl1, cd40, cdc42, drd1b, drd2b, epha2a, f3a, flt1, hmox1a, id1, ikbkap, jun, ldha, lyn, mapk3, P2RY1, pax6b, ptpn11a, rras, sele, smad3a, syk, tek","INCREASED MOTILITY"
"GO:0050673","12","55.0923305904598","0.111059258898218","14.63","acvrl1, cdc42, f3a, flt1, gli1, hmox1a, id1, jun, pax6b, rb1, smad3a, tek","INCREASE REGENERATIVE CELL PROLIFERATION TUBULAR EPITHELIAL CELLS; INCREASE REGENERATIVE CELL PROLIFERATION TERMINAL BRONCHIOLAR EPITHELIAL CELLS"
"GO:0007568","11","55.4324445753289","0.115879038410219","12.79","arntl1a, chek1, dldh, h2afx, igfbp2a, jun, mapk3, P2RY1, rad54l, rbl1, SERP1","ACCELERATED AGING"
"GO:0044703","20","55.4339516435721","0.0516894906932561","17.24","arntl1a, cad, dldh, drd1b, gamt, gli1, glra1, h2afx, hsd11b2, hsf1, igfbp2a, mapk3, ndc1, P2RY1, pde5ab, rnf2, rxraa, sirt2, txn, umps","N/A REPRODUCTIVE FAILURE"
"UPPER MOTOR NEURON DYSFUNCTION","22","57.2846738561187","0.0365784849313743","4.64","bckdha, ddb2, dhcr7, dldh, dnm1l, eif2b4, gabra5, gamt, glra1, gria4a, hnrnpa1b, mre11a, ndufa6, ndufs8a, nup133, pax6b, pccb, pola1, pqbp1, rbm28, stub1, tars","DECREASE HISTAMINERGIC NEURON EXCITATION; OCCURRENCE CYTOPLASMIC VACUOLIZATION BILE DUCT CELL; OCCURRENCE CYTOPLASMIC VACUOLIZATION KUPFFER CELL"
"REGULATION OF CELL DEATH","29","57.6014094221649","0.0342715437612024","10.82","atf6, cd40, cdc42, dad1, dnm1l, gabra5, gnrh3, gsk3b, hdac3, hmox1a, hsf1, hsp90aa1.2, id1, jun, ldha, mre11a, nkx2.7, pparab, psmd10, rarga, rb1, sirt2, slc25a5, smad3a, syk, tek, txn, vegfaa, ywhaz","N/A CELL INJURY/DEATH"
"GO:0005488","149","58.0697522780319","0.00649226072837794","13.85","acvrl1, ahr1b, ahr2, alas1, anxa2a, arntl1a, atf6, bmp2b, cad, cd40, cdc42, cdc45, cfl1l, chek1, cnot4b, cpsf5, csnk2a2a, cwc15, cyp2aa3, cyp2p10, cyp2v1, cyp51, dao.1, ddb2, dhcr7, dldh, dnm1l, e2f7, eci2, eif2b4, eif3ha, eif3ja, eif3s10, epha2a, esrra, esrrga, exosc2, fabp3, farsa, farsb, fasn, flt1, foxo1a, foxo3a, gad2, gcat, gli1, glra1, gnrh3, gsk3b, gtf2b, h2afx, hat1, hdac3, hif1aa, hmox1a, hnrnpa1b, hoxb1a, hsf1, hsp90aa1.1, hsp90aa1.2, id1, igf1rb, igfbp2a, ikbkap, imp4, jun, kdelr2b, lig3, lsm1, lyn, mapk3, mcm4, mmp30, mre11a, myl6, ncbp2, ncoa2, ndufs8a, nfia, nhp2, nkx2.7, npffr1l2, nr2f5, nrf1, pax6b, pck2, pde5ab, pola1, pola2, polr1e, polr2j, polr3d, pom121, pparab, pqbp1, prpf4, ptpn11a, ptpn4a, pvalb2, rab5c, rad21a, rad54l, ran, rap1b, rarga, rb1, rbl1, rbm28, rnf2, rpa1, rpa3, rpl15, rpl19, rpl24, rps6ka5, rps9, rras, rxraa, rxrbb, sae1, sar1b, sele, sf3a3, sfrp1b, sirt2, smad1, smad3a, snrpb, snrpc, sox19b, srsf10b, stub1, syk, ta, tars, tcf7, tek, timp2b, tkta, tpm4a, tra2a, ube2ia, uqcrc1, uqcrc2b, vegfaa, vldlr, wls, zgc-86598","INCREASED BINDING OF CHEMICALS TO 2U SERUM"
"LIVER X RECEPTOR PATHWAY","2","58.4651669977892","0.265331187851366","16.67","fasn, rxraa","ACTIVATION LXR; ACTIVATION LXR ALPHA"
