"","Num","POD","SD","%","Genes","KE"
"GO:0045333","3","0.0340277114939782","0.152685645188826","4.17","C24H11orf65, COX5B_2of3, ndufa6","INCREASE OXIDATIVE METABOLISM"
"ELECTRON TRANSPORT CHAIN","3","0.0340277114939782","0.152685645188826","4.41","C24H11orf65, COX5B_2of3, ndufa6","DISRUPTION MITOCHONDRIAL ELECTRON TRANSPORT CHAIN"
"ABNORMAL LIVER MORPHOLOGY","3","0.063344593086048","0.524803919375185","2.52","cpt1aa, ndufa6, srsf2a","INDUCTION LIVER “DYSFUNCTIONAL” CHANGES BY CGA 330050; INFLAMMATION LIVER; N/A LIVER FIBROSIS; INCREASE RBC CONGESTION IN LIVER; INCREASE LIVER AND SPLENIC HEMOSIDEROSIS; REDUCTION VITELLOGENIN SYNTHESIS IN LIVER; INCREASE VITELLOGENIN SYNTHESIS IN LIVER; FORMATION LIVER FIBROSIS; FORMATION LIVER TUMOR"
"ABNORMALITY OF THE LIVER","3","0.063344593086048","0.524803919375185","0.4","cpt1aa, ndufa6, srsf2a","INCREASED INDUCTION OF UDPGT'S IN LIVER; INCREASED LIVER STEATOSIS; INCREASED LIVER STEATOSIS; N/A HEPATOTOXICITY HEPATOPATHY INCLUDING A CONSTELLATION OF OBSERVABLE EFFECTS; INDUCTION SUSTAINED HEPATOTOXICITY"
"GO:0046983","6","0.0741061750325211","0.19508450511071","3.05","atic, erbb2, pole3, rqcd1, taf9, tpm4a","DIMERIZATION AHR/ARNT; REDUCED DIMERIZATION ARNT/HIF1-ALPHA"
"ABNORMALITY OF THE ABDOMINAL ORGANS","4","0.128095568490627","0.355899349884478","2.37","cpt1aa, mdm2, ndufa6, srsf2a","IMPAIRED DEVELOPMENT OF REPRODUCTIVE ORGANS"
"GO:0040011","4","0.13000097736105","0.232685811703159","1.76","bves, erbb2, insra, mdm2","INCREASED LOCOMOTION; INCREASED MUSCULAR WAVES IN FOOT; DECREASED LOCOMOTION"
"GO:0048870","4","0.13000097736105","0.232685811703159","2","bves, erbb2, insra, mdm2","INCREASED MOTILITY"
"PEPTIDYL LYSINE MODIFICATION","3","0.136521297903116","0.328604893730262","4.23","mdm2, pole3, taf9","N/A COVALENT BINDING TO PROTEIN POSSIBLY LYSINE RESIDUE"
"GO:0048856","3","0.192161732383129","0.661972998554098","25","insra, rxrab, rxrgb","ALTERED NEUROANATOMY"
"GO:0019904","4","0.219651317653831","0.187474846827864","3.25","insra, mdm2, rqcd1, taf9","N/A INTERFERENCES WITH SH-/SELEN-PROTEINS"
"GO:0005488","24","0.230580172263053","0.0514160629697573","2.23","atp5g3a, bves, csnk1e, csnk2a2b, erbb2, grhl2b, hoxb5b, insra, mapkapk2a, mdm2, mmp24, nppa, pa2g4b, per2, pole3, pop7, rxrab, rxrgb, sec61al2, srsf2a, taf9, tpm4a, tuba8l2, ubr7","INCREASED BINDING OF CHEMICALS TO 2U SERUM"
"BRADYCARDIA","2","0.236630144662542","0.961257547471184","33.33","bves, nppa","INCREASED ATRIOVENTRICULAR BLOCK AND BRADYCARDIA"
"DECREASED BODY WEIGHT","4","0.250238121906263","0.434581921083336","1.77","gatm, ndufa6, pomp, srsf2a","DECREASED BODY WEIGHT"
"GO:0006839","5","0.298835581129435","0.26340264620102","10.87","atp5g3a, atp5j, COX5B_2of3, cpt1aa, csnk2a2b","REDUCTION CHOLESTEROL TRANSPORT IN MITOCHONDRIA"
"GO:0005102","5","0.313687673170817","0.198277090727357","2.4","erbb2, insra, mdm2, nppa, rqcd1","DECREASED TESTOSTERONE BINDING TO ANDROGEN RECEPTOR HYPOTHALAMUS"
"HEART DEVELOPMENT","4","0.334667564896246","0.345775253207933","3.17","bves, erbb2, grhl2b, nppa","ALTERED LARVAL DEVELOPMENT; IMPAIRED DEVELOPMENT"
"ABNORMAL RESPIRATORY SYSTEM MORPHOLOGY","3","0.367890336398256","0.534503817101261","2.04","gatm, mdm2, srsf2a","INCREASED RESPIRATORY DISTRESS/ARREST"
"ABNORMAL LUNG MORPHOLOGY","3","0.367890336398256","0.534503817101261","2.34","gatm, mdm2, srsf2a","INCREASE ADENOMAS/CARCINOMAS BRONCHIOLOALVEOLAR"
"ABNORMALITY OF BLOOD AND BLOOD FORMING TISSUES","3","0.374843243972921","0.537870163432478","0.74","mdm2, pomp, srsf2a","DAMAGING RED BLOOD CELLS; HEMOLYSIS"
"GO:0004872","6","0.470952678885071","0.25423118378859","2.51","erbb2, gabbr1a, insra, nppa, rxrab, rxrgb","ACTIVATION PXR/SXR"
"GO:0001775","4","0.535596548301266","0.300853275591553","2.04","erbb2, nppa, pa2g4b, psmd1","ACTIVATION DENDRITIC CELLS"
"GO:0046903","7","0.552832039977153","0.142102244734964","3.03","atp5j, cpt1aa, nppa, pa2g4b, per2, psmd1, tuba8l2","SUPPRESSION VLDL SECRETION; INCREASE MUCIN PRODUCTION; INCREASED SECRETION OF LOCAL GROWTH FACTORS"
