"","Num","POD","SD","%","Genes","KE"
"GO:0010463","2","1.29149334736446e-06","1.16477786152765","16.67","fgfr1a, tbx1","INCREASED PROLIFERATION OF MESENCHYMAL CELLS"
"ABNORMAL FORM OF THE VERTEBRAL BODIES","4","1.58594832399041e-06","0.394872250767038","12.12","bmp1a, fgfr1a, hspa9, whsc1","CLONAL EXPANSION/CELL PROLIFERATION TO FORM ALTERED HEPATIC FOCI AHF"
"GO:0048469","4","1.612753825129e-06","0.39374256074277","16.67","btk, cdkn1ca, cebpa, fgfr1a","INCREASED OOCYTE MATURATION"
"ABNORMAL HYPOTHALAMUS PHYSIOLOGY","2","1.66642269945019e-06","1.24304963201973","22.22","fgfr1a, pik3ca","REDUCED PROSTAGLANDIN E2 CONCENTRATION HYPOTHALAMUS; DECREASE E2 BLOOD CONCENTRATIONS AT HYPOTHALAMUS"
"GO:0019882","4","2.22496034291581e-06","0.404597271245772","6.78","psma2, psmb5, psmc4, psmd10","GENERATION OF NOVEL EPITOPES  ANTIGEN PRESENTATION"
"SMOOTH MUSCLE CELL PROLIFERATION","4","3.38280326727974e-06","0.311110159865823","15.38","ddx39b, igf1, mmp9, rps6kb1b","HYPERTROPHY/HYPERPLASIA SMOOTH MUSCLE"
"GO:1903009","4","3.39102786110848e-06","0.467954922685595","11.76","psma2, psmb5, psmc1b, psmc4","DECREASE GTPCH-1"
"CTOME CELLULAR RESPONSE TO HYPOXIA","6","3.92506470095612e-06","0.271530258211281","13.95","psma2, psmb5, psmc1b, psmc4, psmd10, uba52","N/A HYPOXIA"
"GO:0008283","2","4.15763590880769e-06","0.791884600371426","22.22","mif, tacc3","PROLIFERATION CELL PROLIFERATION IN THE ABSENCE OF CYTOTOXICITY; ACTIVATION/PROLIFERATION T-CELLS; ALTERATIONS CELLULAR PROLIFERATION / HYPERPLASIA; INCREASE PROLIFERATION LEYDIG CELL; INCREASE MITOGENIC CELL PROLIFERATION HEPATOCYTES; INCREASE HYPERTROPHY AND PROLIFERATION FOLLICULAR CELL; INCREASE REGENERATIVE CELL PROLIFERATION CORNEAL CELLS; INCREASE REGENERATIVE CELL PROLIFERATION FORESTOMACH EPITHELIAL CELLS; INCREASE REGENERATIVE CELL PROLIFERATION HEPATOCYTES; INCREASE REGENERATIVE CELL PROLIFERATION UROTHELIAL CELLS; INCREASE CELL PROLIFERATION; INCREASE PROLIFERATION OF GOBLET CELLS; INCREASED HYPERTROPHY AND PROLIFERATION FOLLICULAR CELL; PROLIFERATION/CLONAL EXPANSION SMOOTH MUSCLE; INCREASED CELLULAR PROLIFERATION / HYPERPLASIA OF ACINAR CELLS; PROLIFERATION/CLONAL EXPANSION ABERRANT BASAL CELLS; INCREASED CELL PROLIFERATION MESOTHELIUM; INCREASE CELL PROLIFERATION EPITHELIAL CELLS"
"ABNORMALITY OF THE ENDOMETRIUM","2","4.45881467477453e-06","0.940807976035021","18.18","msh6, pik3ca","INCREASED HYPERPLASIA GLANDULAR EPITHELIAL CELLS OF ENDOMETRIUM; INCREASE HYPERPLASIA GLANDULAR EPITHELIAL CELLS OF ENDOMETRIUM; INCREASED ADENOSQUAMOUS CARCINOMAS OF ENDOMETRIUM"
"ELECTRON TRANSPORT CHAIN","6","4.76063595832619e-06","0.207616837841251","8.82","cdk1, cox7c, cyp1a, ndufb2, ndufv2, phgdh","DISRUPTION MITOCHONDRIAL ELECTRON TRANSPORT CHAIN"
"TUBE FEEDING","3","4.80735216738803e-06","0.640375887079112","17.65","dnm1l, fgfr1a, ppp2r1a","INHIBITION FEEDING"
"GO:0006281","16","4.83445794257354e-06","0.0720864515760881","18.82","axin2, cdk1, cdk7, h2afx, hsf1, msh6, nploc4, ogg1, pola1, pold3, polr2l, rchy1, rfc3, stub1, uba52, whsc1","N/A INSUFFICIENT OR INCORRECT DNA REPAIR; INCREASED INSUFFICIENT REPAIR OR MIS-REPAIR OF PRO-MUTAGENIC DNA ADDUCTS; OVERWHELMED MITOCHONDRIAL DNA REPAIR MECHANISMS; INCREASED DNA DAMAGE-REPAIR"
"G OOCYTE MEIOSIS","5","4.83812125524602e-06","0.279332730152496","12.5","cdk1, igf1, igf1ra, mapk1, ppp2r1a","REDUCED MEIOTIC PROPHASE I/METAPHASE I TRANSITION OOCYTE"
"GO:0004882","10","4.91492556733943e-06","0.119070696834368","28.57","casp8, cdk1, cdk7, igf1, mapk1, ncoa4, pou2f1b, rchy1, smad3b, stub1","N/A ANDROGEN RECEPTOR ANTAGONISM; AGONISM ANDROGEN RECEPTOR; DECREASED ANDROGEN RECEPTOR ACTIVITY; ACTIVATION ANDROGEN RECEPTOR"
"CYTOPLASMIC RIBOSOMAL PROTEINS","10","5.03997797558313e-06","0.116788415264885","6.94","rpl13a, rpl19, rpl21, RPL29, rpl39, rps26l, rps3a, rps6kb1b, rps9, uba52","OCCURRENCE CYTOPLASMIC VACUOLIZATION PODOCYTE"
"GO:0030545","7","5.04491235198456e-06","0.19083529288916","11.86","bmp1a, fgf3, fsta, igf1, inhbab, mif, wnt3a","DESENSITIZATION NICOTINIC ACETYLCHOLINE RECEPTOR"
"ABNORMAL SOCIAL BEHAVIOR","4","5.20935215252143e-06","0.261022014856939","15.38","ndufv2, pola1, tars, uchl1","ABNORMAL FORAGING ACTIVITY AND BEHAVIOR"
"GO:0007059","5","5.42731535390881e-06","0.279722355002509","11.36","axin2, nup62l, tacc3, ttk, zw10","INCREASED CHROMOSOME MISSEGGREGATION"
"GO:0022414","6","5.63297426223635e-06","0.202360229779587","16.67","fsta, h2afx, igf1rb, msh6, paqr7b, ttk","INCREASED REPRODUCTIVE SUCCESS"
"SOMATIC MUTATION","7","6.24953293551324e-06","0.247279418530956","8.33","axin2, casp8, cebpa, fgfr1a, msh6, nras, pik3ca","INCREASED INDUCED MUTATIONS IN CRITICAL GENES; INCREASE MUTATIONS; INCREASE MUTATIONS IN CRITICAL GENES"
"CTOME REGULATED NECROSIS","7","6.25767240121782e-06","0.206657353000358","33.33","birc2, casp3b, casp8, flot2a, stub1, tradd, uba52","INCREASE NECROSIS TERMINAL BRONCHIOLAR CELLS"
"CTOME SIGNALING BY TYPE 1 INSULIN LIKE GROWTH FACTOR 1 RECEPTOR IGF1R","6","6.49864139316641e-06","0.280796424563638","46.15","fgf3, fgfr1a, igf1, igf1ra, nras, pik3ca","INCREASED IGF-1 MOUSE"
"GO:0030163","21","6.93259775508975e-06","0.0640100943757427","13.73","birc2, casp8, cdk1, cebpa, ctsk, cyp51, gna12a, hspa5, mapk9, nploc4, psma2, psmb5, psmc4, psmd10, rchy1, stub1, uba52, ube4b, uchl1, usp14, vldlr","INCREASED CATABOLISM OF MUSCLE PROTEIN"
"NEOPLASM OF THE SKIN","5","7.06612077965311e-06","0.377757030977103","15.15","fgfr1a, msh6, nras, pik3ca, tars","SENSITISATION SKIN"
"GO:0043542","4","7.48820279069131e-06","0.405695837729518","11.43","cyp1b1, fgfr1a, pik3ca, tek","INCREASED MIGRATION ENDOTHELIAL CELLS"
"GO:0042701","8","7.498862316088e-06","0.154119336221496","23.53","ccna2, cdk1, igf1, igf1ra, igf1rb, mapk1, mapk9, pik3ca","DECREASED PROGESTERONE FROM CORPUS LUTEUM"
"DECREASED FERTILITY","4","7.76752736350045e-06","0.57813802018423","5.26","fgfr1a, foxa2, gata4, stub1","IMPAIRED FERTILITY; DECREASED SPERM QUANTITY OR QUALITY IN THE ADULT DECREASED FERTILITY; REDUCTION CUMULATIVE FECUNDITY AND SPAWNING; DECREASED SPERM QUANTITY OR QUALITY IN THE ADULT DECREASED FERTILITY; DECREASED SPERM QUANTITY OR QUALITY IN THE ADULT DECREASED FERTILITY; DECREASED TESTOSTERONE"
"GO:0070265","3","7.82443724283724e-06","0.528809626355362","27.27","birc2, casp8, dnm1l","INCREASE TISSUE DEGENERATION NECROSIS & ATROPHY; INCREASED ONCOTIC NECROSIS"
"IMMUNOLOGIC HYPERSENSITIVITY","4","8.24281385524424e-06","0.409667581291854","17.39","casp8, cdkn1ca, fgfr1a, tbx1","INCREASE ALLERGIC RESPIRATORY HYPERSENSITIVITY RESPONSE"
"DNA DAMAGE RESPONSE","4","9.0960096206047e-06","0.350042056452918","6.9","casp3b, casp8, cdk1, h2afx","INCREASED DNA DAMAGE-REPAIR"
"GO:0007249","8","9.20107025278143e-06","0.171714756617088","18.6","birc2, btk, casp8, nfkb1, nup62l, tradd, uba52, wls","INHIBITION NUCLEAR FACTOR KAPPA B NF-KB"
"GO:0006412","15","1.03131432422335e-05","0.0695243627638531","13.89","eif2b3, eif3g, eif3ja, eif4a1a, eif4a1b, eif4bb, rpl13a, rpl19, rpl21, RPL29, rpl39, rps26l, rps3a, rps9, uba52","ALTERED PROTEIN PRODUCTION"
"GO:0007051","3","1.03658370656404e-05","0.437934019890357","11.11","nup62l, tacc3, ttk","DISORGANIZATION SPINDLE"
"ABNORMALITY OF THE OVARY","6","1.06520582489252e-05","0.286935997565029","10.53","eif2b3, fgfr1a, gata4, insrb, msh6, pik3ca","REDUCED PROSTAGLANDINS OVARY"
"GO:0070330","3","1.08075425737481e-05","0.276467249044645","37.5","cyp1a, cyp1b1, cyp3c1","REDUCTION IN OVARIAN GRANULOSA CELLS AROMATASE CYP19A1; INHIBITION AROMATASE; DECREASED AROMATASE CYP19A1 MRNA"
"HEPATOCELLULAR CARCINOMA","3","1.12661478274049e-05","0.500709868546811","23.08","casp8, msh6, pik3ca","FORMATION HEPATOCELLULAR AND BILE DUCT TUMORS; INCREASE ADENOMAS/CARCINOMAS HEPATOCELLULAR; TUMORIGENESIS HEPATOCELLULAR CARCINOMA"
"JNK CASCADE","6","1.15778004578377e-05","0.181625137944033","27.27","igf1ra, mapk9, mmp13a, ptpn1, uba52, ube2nb","ACTIVATION JNK"
"GO:1903008","4","1.15805597832732e-05","0.362373985754489","30.77","cdk1, ctsk, dnm1l, pelo","DISRUPTION LYSOSOME"
"ARYL HYDROCARBON RECEPTOR PATHWAY","3","1.19837408636349e-05","0.292123398371744","6.25","ahr1b, cyp1a, cyp1b1","UP REGULATION CYP1A1; ACTIVATION AHR"
"REGULATION OF PH","3","1.2015176838312e-05","0.357796114639832","21.43","atp6v1c1a, atp6v1e1b, mapk1","DECREASE INTRACELLULAR PH"
"HYPERACTIVITY","11","1.21748337724484e-05","0.123887323933418","22","cdkn1ca, fgfr1a, gata4, glud1a, igf1, mapk1, msh6, pik3ca, pola1, ppp2r1a, tbx1","INDUCTION ATAXIA PARALYSIS OR HYPERACTIVITY; INCREASED ATAXIA PARALYSIS OR HYPERACTIVITY; N/A ATAXIA PARALYSIS OR HYPERACTIVITY"
"REGULATION OF WNT SIGNALING PATHWAY","11","1.21756610486637e-05","0.117612664206933","13.92","axin2, csnk1g2a, nfkb1, ppp2r1a, psma2, psmb5, psmc1b, psmc4, psmd10, wls, wnt3a","INHIBITION WNT PATHWAY"
"ABNORMALITY OF THE MITOCHONDRION","3","1.22913650547938e-05","0.349392693486314","2.38","dnm1l, ndufv2, pdhx","INJURY MITOCHONDRIA; DAMAGING MITOCHONDRIA; N/A MITOCHONDRIAL DYSFUNCTION 1"
"GO:0016310","22","1.23042298772714e-05","0.0524949385357354","17.6","acvr2b, btk, cdk1, cdk7, cdkn1ca, csf1ra, csnk1g2a, csnk2a2a, fgfr1a, igf1ra, igf1rb, insra, insrb, mapk1, mapk9, nme2b.2, nme7, pak2b, pik3ca, rps6kb1b, tek, ttk","ACTIVATION SP1"
"APOPTOSIS","7","1.26620056683976e-05","0.191306889609071","12.5","birc2, casp3b, casp8, igf1, igf1ra, nfkb1, tradd","INCREASED APOPTOSIS ADENOMAS/CARCINOMAS FOLLICULAR CELL"
"REGULATION OF PROTEOLYSIS","17","1.29030256018509e-05","0.0778400572375469","15.18","adora2aa, birc2, casp8, cebpa, f3a, gna12a, hsf1, mapk9, mmp9, psmc1b, psmc4, psmd10, rchy1, stub1, tradd, usp14, wnt3a","IMPAIRED PROTEOSTASIS"
"RESPONSE TO ESTRADIOL","7","1.31412811651116e-05","0.118399215082719","23.33","casp3b, casp8, ccna2, cyp1a, hsf1, ogg1, slc6a4a","REDUCTION PLASMA 17BETA-ESTRADIOL CONCENTRATIONS"
"UPPER MOTOR NEURON DYSFUNCTION","19","1.40989944228762e-05","0.0617719601474193","4.01","atp6v1e1b, cyp26c1, dnm1l, eif2b3, fgfr1a, impdh1b, mdh1aa, msh6, ndufv2, nup62l, pdhx, phgdh, pik3ca, pitx3, pola1, rnaseh2b, stub1, tars, uchl1","DECREASE HISTAMINERGIC NEURON EXCITATION; OCCURRENCE CYTOPLASMIC VACUOLIZATION BILE DUCT CELL; OCCURRENCE CYTOPLASMIC VACUOLIZATION KUPFFER CELL"
"GO:0016055","4","1.43578641802511e-05","0.276664957114309","17.39","axin2, fzd7a, wls, wnt3a","ALTERATION WNT PATHWAY"
"GO:0044703","26","1.45038849140103e-05","0.0430953039184402","22.41","adra2c, birc2, cad, cdk1, crhr1, crtap, cyp1a, drd1b, fsta, h2afx, hsd11b2, hsf1, igf1, inhbab, mapk1, mmp9, nhp2l1b, nup62l, paqr7b, pparda, RPL29, rpl39, rps6kb1b, slc6a4a, thraa, ttk","N/A REPRODUCTIVE FAILURE"
"GO:0050673","14","1.47057285377731e-05","0.0981088302709263","17.07","agtr1b, cdkn1ca, f3a, f3b, fgfr1a, fsta, igf1, mapk1, nme2b.2, nras, pparda, tbx1, tek, wnt3a","INCREASE REGENERATIVE CELL PROLIFERATION TUBULAR EPITHELIAL CELLS; INCREASE REGENERATIVE CELL PROLIFERATION TERMINAL BRONCHIOLAR EPITHELIAL CELLS"
"GO:0005102","29","1.50721458366733e-05","0.0400930242514654","13.94","adora2aa, adra2c, agtr1b, bmp1a, casp3b, casp8, cdk7, drd2b, f11r.1, fgf3, fgfr1a, flot2a, fsta, gna12a, gnat2, igf1, igf1ra, inhbab, insra, insrb, mif, ncoa4, nup62l, ptpn1, stub1, tradd, uchl1, wls, wnt3a","DECREASED TESTOSTERONE BINDING TO ANDROGEN RECEPTOR HYPOTHALAMUS"
