"","Num","POD","SD","%","Genes","KE"
"REGULATION OF ATPASE ACTIVITY","3","4.65070144495519e-06","0.303694282221335","18.75","dnajc1, msh6, tp53","INHIBITION CA++ ATPASE"
"PSYCHOGENIC NON EPILEPTIC SEIZURE","3","6.20196765431621e-06","0.349270703381165","23.08","mdh2, tp53, uchl1","OCCURRENCE EPILEPTIC SEIZURE"
"HEPATOCELLULAR CARCINOMA","2","6.56562504500771e-06","0.617571826749607","15.38","msh6, tp53","FORMATION HEPATOCELLULAR AND BILE DUCT TUMORS; INCREASE ADENOMAS/CARCINOMAS HEPATOCELLULAR; TUMORIGENESIS HEPATOCELLULAR CARCINOMA"
"GO:0006839","3","1.5681943582354e-05","0.378467866050656","6.52","hspd1, stat3, tp53","REDUCTION CHOLESTEROL TRANSPORT IN MITOCHONDRIA"
"GO:0005515","4","1.90443499118358e-05","0.312873015654381","8.51","igfbp7, ta, thrb, tp53","BINDING SH-/SELEN-PROTEINS; COVALENT BINDING PROTEIN"
"GO:0019098","2","2.76917685926436e-05","0.149905746605956","22.22","avpr1a, thrb","ALTERED REPRODUCTIVE BEHAVIOUR; REDUCED BROOD CARE"
"MATING BEHAVIOR","2","2.76917685926436e-05","0.149905746605956","22.22","avpr1a, thrb","REDUCED ABILITY TO ATTRACT SPAWNING MATES"
"REPRODUCTIVE BEHAVIOR","2","2.76917685926436e-05","0.149905746605956","20","avpr1a, thrb","REDUCED SPAWNING BEHAVIOR"
"ABNORMAL CIRCULATING ESTROGEN LEVEL","2","2.84830243651339e-05","1.06821806665847","14.29","gata4, tp53","INCREASED CIRCULATING ESTROGEN LEVELS"
"GO:0006281","3","3.24117167998946e-05","0.495009382870755","3.53","csnk1e, msh6, tp53","N/A INSUFFICIENT OR INCORRECT DNA REPAIR; INCREASED INSUFFICIENT REPAIR OR MIS-REPAIR OF PRO-MUTAGENIC DNA ADDUCTS; OVERWHELMED MITOCHONDRIAL DNA REPAIR MECHANISMS; INCREASED DNA DAMAGE-REPAIR"
"GO:0050665","2","3.34219975761308e-05","0.449309861737906","33.33","cyp1a, stat3","DECREASED HYDROGEN PEROXIDE PRODUCTION"
"ABNORMALITY OF THE OVARY","3","3.4140948121108e-05","0.505608080203014","5.26","gata4, msh6, tp53","REDUCED PROSTAGLANDINS OVARY"
"GO:0019226","2","3.44757861435836e-05","0.217196491693094","16.67","avpr1a, glra1","REDUCTION ECDYSIS MOTONEURON BURSTS"
"GO:0044703","9","3.4839472048395e-05","0.0855784457457556","7.76","avpr1a, cyp1a, glra1, igfbp7, ppat, rxraa, stat3, tbp, thrb","N/A REPRODUCTIVE FAILURE"
"ABNORMALITY OF THE PITUITARY GLAND","4","3.66053059992619e-05","0.309990111158136","8.33","gata4, msh6, thrb, tp53","INCREASED ADENOMAS PITUITARY"
