"","Num","POD","SD","%","Genes","KE"
"GO:0006954","3","0.000738384550504372","0.480204297532345","2.56","caspa, ednrba, nfkb2","INCREASE INFLAMMATION; INCREASE INFLAMMATION CORNEAL CELLS; INFILTRATION INFLAMMATORY CELLS; INCREASED INFLAMMATION; CHRONIC COUGH RESPIRATORY IRRITABILITY"
"REGULATION OF PROTEOLYSIS","6","0.000842955459598692","0.328855643408988","5.36","caspa, fynb, hspd1, rbx1, src, wnt1","IMPAIRED PROTEOSTASIS"
"GO:0007249","4","0.0021276088762698","0.605553211260532","9.3","caspa, ctnnb1, fynb, nfkb2","INHIBITION NUCLEAR FACTOR KAPPA B NF-KB"
"RESPONSE TO REACTIVE OXYGEN SPECIES","3","0.00245076400574848","0.808358897668461","5.36","fynb, src, stk25b","INCREASED REACTIVE OXYGEN SPECIES"
"REGULATION OF WNT SIGNALING PATHWAY","4","0.00422353064494742","0.646684624439837","5.06","ctnnb1, gli1, rbx1, src","INHIBITION WNT PATHWAY"
"GO:0019932","3","0.00847022110136284","0.749980765171266","4.92","ednrba, nme2b.2, ppp2ca","INCREASED SECOND MESSENGER PRODUCTION"
"GO:0015631","5","0.0119363792920925","0.450508022308898","26.32","atf5b, cenpe, dnm1l, fynb, gli1","BINDING TUBULIN"
"GO:0030520","2","0.0188796630939333","1.76891779073694","25","src, taf7","ACTIVATION ESTROGEN RECEPTOR ALPHA"
"GO:0030331","2","0.0216776384747208","1.81135673394352","22.22","ctnnb1, src","INCREASED ER BINDING TO DNA CLASSICAL PATHWAY; INCREASED ER BINDING TO TF TO DNA NON-CLASSICAL PATHWAY"
"GO:0048813","3","0.0228298484900609","0.644723372795998","23.08","dnm1l, fynb, vldlr","ABERRANT DENDRITIC MORPHOLOGY"
"ABNORMAL BLOOD SODIUM CONCENTRATION","2","0.0239588457562668","2.00015651351304","22.22","ikbkap, nfkb2","DECREASED SODIUM CONDUCTANCE 2; DECREASED SODIUM REABSORPTION"
"ABNORMALITY OF THE BLADDER","6","0.0242864418067158","0.404866087830947","11.54","aldh18a1, dnmt1, hnrnpa1b, hspd1, pax6b, raraa","REDUCED POSTERIOR SWIM BLADDER INFLATION; REDUCED ANTERIOR SWIM BLADDER INFLATION; INCREASE URINARY BLADDER CALCULI"
"REGULATION OF CELL DEATH","18","0.028744614703298","0.122888856089279","6.72","atf5b, caspa, cops5, ctnnb1, dnm1l, dnmt1, ednrba, fynb, hspd1, mre11a, mybl2b, nme2b.2, ntf3, pak4, raraa, src, tgfb3, wnt1","N/A CELL INJURY/DEATH"
"GO:0016310","10","0.0320135241014942","0.235354268124412","8","acvr2b, aldh18a1, erbb2, fynb, nek2, nme2b.2, pak4, raf1a, src, stk25b","ACTIVATION SP1"
"ABNORMAL CORNEAL EPITHELIUM MORPHOLOGY","2","0.0321539835691489","1.90981026221627","15.38","ikbkap, pax6b","INCREASED ACCUMULATION OF ALPHA2U MICROGLOBULIN PROXIMAL TUBULAR EPITHELIUM"
"GO:0003824","4","0.0342280101268443","0.776500670372211","6.15","aldh18a1, hadhab, impdh1b, pgam1a","DECREASED DHB4/HSD17B4; DECREASE INCORPORATION OF ACTIVE IODIDE INTO IODOTYROSINES; INHIBITION PROLYL HYDROXYLASES; INHIBITION UROD; DECREASE AKT/ENOS ACTIVITY; INHIBITION DEIODINASE 2; INHIBITION DEIODINASE 1; INHIBITION IODOTYROSINE DEIODINASE IYD; INHIBITION DEIODINASE 3; INHIBITION DUAL OXIDASE; INDUCTION UPREGULATION OF GLUCURONYLTRANSFERASE ACTIVITY"
"GO:0050673","7","0.0345455822993062","0.31801457744887","8.54","ctnnb1, ednrba, erbb2, gli1, nme2b.2, pax6b, vegfc","INCREASE REGENERATIVE CELL PROLIFERATION TUBULAR EPITHELIAL CELLS; INCREASE REGENERATIVE CELL PROLIFERATION TERMINAL BRONCHIOLAR EPITHELIAL CELLS"
"POSITIVE REGULATION OF GENE EXPRESSION","14","0.0497733047343376","0.178482711980365","7.73","caspa, ctnnb1, dnmt1, erbb2, hspd1, mre11a, nfkb2, pax6b, polr1e, polr3f, raraa, smad1, src, whsc1","ALTERED GENE EXPRESSION"
